"species","IBDseg","ndemes"
"CLK","0.02-1","200"
"CLK","2-6","500"
"CLK","6-Inf","50"
"AKY","0.02-1","50"
"AKY","2-6","50"
"AKY","6-Inf","50"
"CRP","0.02-1","50"
"CRP","2-6","500"
"CRP","6-Inf","500"
"LAT","0.02-1","50"
"LAT","2-6","500"
"LAT","6-Inf","50"
"AKA","0.02-1","50"
"AKA","2-6","50"
"AKA","6-Inf","50"
"PRD","0.02-1","200"
"PRD","2-6","50"
"PRD","6-Inf","200"
"EPH","0.02-1","500"
"EPH","2-6","500"
"EPH","6-Inf","50"
"MEL","0.02-1","200"
"MEL","2-6","200"
"MEL","6-Inf","200"
"POL","0.02-1","500"
"POL","2-6","50"
"POL","6-Inf","200"
"SAN","0.02-1","500"
"SAN","2-6","50"
"SAN","6-Inf","500"
