time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.94855e-07	1.4712799999999995	2.90253	2.781660000000001
1	2.94855e-07	6.80554e-07	1.4712799999999995	2.90253	2.781660000000001
2	6.80554e-07	1.18509e-06	1.4712799999999995	2.90255	2.781660000000001
3	1.18509e-06	1.84506e-06	1.4712799999999995	2.90256	22907.09083
4	1.84506e-06	2.70837e-06	1.4712799999999995	3.83699	44936.4
5	2.70837e-06	3.83767e-06	1315.965128	1685.67	37061.4
6	3.83767e-06	5.3149e-06	1702.713	5423.05	30909.180000000004
7	5.3149e-06	7.24725e-06	2264.33	6612.36	21977.040000000005
8	7.24725e-06	9.77496e-06	1893.161	3883.34	14775.079999999998
9	9.77496e-06	1.30815e-05	1523.62	2188.55	9678.800999999998
10	1.30815e-05	1.74067e-05	1252.1499999999999	1578.46	6784.497
11	1.74067e-05	2.30644e-05	1134.8200000000002	1257.84	5074.638000000001
12	2.30644e-05	3.04654e-05	1091.3400000000001	1055.37	3936.4960000000005
13	3.04654e-05	4.01465e-05	1040.12	998.767	3324.592
14	4.01465e-05	5.28104e-05	970.4994999999999	1108.85	2923.899
15	5.28104e-05	6.93759e-05	930.0565000000001	1409.78	2718.780000000001
16	6.93759e-05	9.10453e-05	941.7080000000002	1887.05	2653.852
17	9.10453e-05	0.000119391	1021.1136	2472.16	2645.808
18	0.000119391	0.00015647	1195.3819999999998	3057.83	2620.874
19	0.00015647	0.000204972	1440.828	3536.71	2511.328
20	0.000204972	0.000268418	1705.2010000000002	3842.63	2287.745
21	0.000268418	0.000351412	1895.036	3947.36	1979.418
22	0.000351412	0.000459976	1987.0739999999996	3857.61	1651.0880000000002
23	0.000459976	0.000601988	1923.5220000000002	3538.04	1360.8419999999999
24	0.000601988	0.000787753	1751.937	2975.8	1138.528
25	0.000787753	0.00103075	1501.7479999999996	2229.53	987.9615000000001
26	0.00103075	0.00134862	1199.47	1507.46	943.3228000000003
27	0.00134862	0.00176442	891.2004000000001	807.567	1223.5820000000003
28	0.00176442	0.00230832	637.1437000000001	807.567	1829.6700000000005
29	0.00230832	0.0030198	477.01779999999985	1015.88	938.6736000000003
30	0.0030198	0.00395049	432.53770000000014	1015.88	47.67719999999999
31	0.00395049	inf	692.113	1015.88	47.6772
