time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.03013e-07	1.4712799999999995	2.82445	1.9343299999999999
1	3.03013e-07	6.99383e-07	1.4712799999999995	2.82445	1.9343299999999999
2	6.99383e-07	1.21787e-06	1.4712799999999995	2.82438	1.9343299999999999
3	1.21787e-06	1.89611e-06	1.4712799999999995	2.82438	1.9343299999999999
4	1.89611e-06	2.78331e-06	1.4712799999999995	74.4855	8289.420299
5	2.78331e-06	3.94385e-06	1315.965128	3522.09	13280.94
6	3.94385e-06	5.46194e-06	1782.944	6474.76	19039.9
7	5.46194e-06	7.44776e-06	2264.33	3723.63	16078.629999999997
8	7.44776e-06	1.00454e-05	1851.92	3041.76	11781.090000000002
9	1.00454e-05	1.34434e-05	1476.7199999999998	2852.17	7668.545999999999
10	1.34434e-05	1.78882e-05	1230.3549999999998	1995.78	4854.644
11	1.78882e-05	2.37026e-05	1128.79	1260.45	3586.63
12	2.37026e-05	3.13083e-05	1088.6740000000002	950.486	2928.2300000000005
13	3.13083e-05	4.12572e-05	1032.542	854.367	2640.7460000000005
14	4.12572e-05	5.42715e-05	964.1533999999999	917.924	2515.2419999999997
15	5.42715e-05	7.12953e-05	928.3140000000002	1170.74	2383.008
16	7.12953e-05	9.35642e-05	945.1020000000002	1629.14	2237.8529999999996
17	9.35642e-05	0.000122694	1032.0852	2250.75	2065.4880000000003
18	0.000122694	0.000160799	1214.0079999999998	2918.58	1906.8660000000004
19	0.000160799	0.000210643	1464.5240000000003	3486.42	1782.9810000000002
20	0.000210643	0.000275845	1747.7240000000002	3846.94	1719.736
21	0.000275845	0.000361134	1928.9799999999998	3967.07	1677.0950000000003
22	0.000361134	0.000472702	1979.022	3857.41	1616.486
23	0.000472702	0.000618643	1896.204	3506.49	1509.225
24	0.000618643	0.000809547	1710.395	2912.44	1352.3619999999996
25	0.000809547	0.00105927	1475.5499999999997	2188.83	1164.752
26	0.00105927	0.00138593	1170.452	1513.59	972.1539999999998
27	0.00138593	0.00181323	864.0038000000001	814.392	812.3862
28	0.00181323	0.00237219	616.3908	814.392	665.8632000000001
29	0.00237219	0.00310335	464.7843999999999	795.209	536.7970000000001
30	0.00310335	0.00405979	430.31400000000014	795.209	427.6972000000001
31	0.00405979	inf	692.113	795.209	173.131
