time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.95232e-07	1.4712799999999995	2.89917	2.44871
1	2.95232e-07	6.81423e-07	1.4712799999999995	2.89917	2.44871
2	6.81423e-07	1.1866e-06	1.4712799999999995	2.89882	2.44871
3	1.1866e-06	1.84742e-06	1.4712799999999995	2.89898	5809.978967999999
4	1.84742e-06	2.71183e-06	1.4712799999999995	327.707	29040.09999999999
5	2.71183e-06	3.84257e-06	1315.965128	3374.9	23265.379999999997
6	3.84257e-06	5.32169e-06	1702.713	5218.2	20239.559999999998
7	5.32169e-06	7.25651e-06	2264.33	4709.95	16791.0
8	7.25651e-06	9.78745e-06	1893.161	3854.0	11780.285999999996
9	9.78745e-06	1.30982e-05	1523.62	2855.75	7737.698000000001
10	1.30982e-05	1.74289e-05	1252.1499999999999	1976.51	5677.902
11	1.74289e-05	2.30939e-05	1134.8200000000002	1458.2	4640.758
12	2.30939e-05	3.05043e-05	1091.3400000000001	1157.26	4032.7889999999993
13	3.05043e-05	4.01978e-05	1040.12	998.949	3561.133999999999
14	4.01978e-05	5.28778e-05	970.4994999999999	1041.81	3189.679999999999
15	5.28778e-05	6.94645e-05	930.0565000000001	1317.45	2924.875
16	6.94645e-05	9.11615e-05	941.7080000000002	1805.97	2702.5320000000006
17	9.11615e-05	0.000119543	1021.1136	2437.63	2537.5609999999997
18	0.000119543	0.000156669	1195.3819999999998	3086.35	2416.8140000000003
19	0.000156669	0.000205234	1440.828	3605.8	2330.826
20	0.000205234	0.000268761	1705.2010000000002	3895.84	2236.8339999999994
21	0.000268761	0.000351861	1895.036	3942.05	2096.7059999999997
22	0.000351861	0.000460563	1983.0479999999998	3780.58	1909.2939999999999
23	0.000460563	0.000602756	1909.863	3429.22	1673.3090000000002
24	0.000602756	0.000788759	1731.166	2898.59	1419.968
25	0.000788759	0.00103207	1475.5499999999997	2276.69	1182.965
26	0.00103207	0.00135034	1170.452	1709.13	979.4839999999997
27	0.00135034	0.00176667	891.2004000000001	1131.13	812.3785999999999
28	0.00176667	0.00231127	637.1437000000001	1131.13	639.8611999999999
29	0.00231127	0.00302366	477.01779999999985	466.89	607.307
30	0.00302366	0.00395553	432.53770000000014	466.89	242.94100000000003
31	0.00395553	inf	692.113	466.89	242.941
