time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.41185e-07	1.4712799999999995	4.42998	1.36811
1	3.41185e-07	7.87489e-07	1.4712799999999995	4.42998	1.36811
2	7.87489e-07	1.3713e-06	1.4712799999999995	102.607	1.36811
3	1.3713e-06	2.13497e-06	1.4712799999999995	119.249	1.36811
4	2.13497e-06	3.13394e-06	439.635896	656.302	1.421301
5	3.13394e-06	4.44068e-06	1462.02	2905.65	1.90002
6	4.44068e-06	6.15002e-06	2023.637	4030.92	1272.26501
7	6.15002e-06	8.38601e-06	2099.366	2962.13	2478.9819999999995
8	8.38601e-06	1.13109e-05	1758.12	2629.6	2224.3900000000003
9	1.13109e-05	1.51369e-05	1361.125	2495.84	1690.1499999999996
10	1.51369e-05	2.01417e-05	1164.97	1954.9	1396.934
11	2.01417e-05	2.66885e-05	1104.67	1329.2	1204.3710000000003
12	2.66885e-05	3.52524e-05	1078.0100000000002	882.584	1068.0870000000002
13	3.52524e-05	4.64547e-05	1002.2299999999998	699.586	966.3126999999998
14	4.64547e-05	6.11084e-05	938.7689999999999	764.179	901.4506999999999
15	6.11084e-05	8.02769e-05	924.7380000000002	1053.95	858.5803999999999
16	8.02769e-05	0.000105351	977.2272000000002	1545.52	854.0884
17	0.000105351	0.000138151	1120.878	2150.41	894.2088000000001
18	0.000138151	0.000181056	1322.348	2727.65	1000.2200000000003
19	0.000181056	0.000237179	1584.6560000000002	3158.91	1183.6760000000002
20	0.000237179	0.000310595	1821.38	3402.48	1398.258
21	0.000310595	0.000406629	1960.0399999999995	3480.73	1582.6809999999998
22	0.000406629	0.000532251	1962.9180000000003	3416.72	1693.4119999999996
23	0.000532251	0.000696577	1841.5679999999998	3180.69	1702.0650000000005
24	0.000696577	0.000911531	1627.311	2716.15	1604.6380000000001
25	0.000911531	0.00119271	1315.542	2014.69	1419.382
26	0.00119271	0.00156052	999.9868	1209.75	1165.1979999999999
27	0.00156052	0.00204166	720.1553000000001	483.281	875.6380000000001
28	0.00204166	0.00267103	525.9513999999999	483.281	604.7306
29	0.00267103	0.0034943	441.43250000000006	786.881	454.0536
30	0.0034943	0.00457122	430.31400000000014	786.881	406.04800000000006
31	0.00457122	inf	692.113	786.881	352.466
