time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.55027e-07	2.781660000000001	768.228	1.9343299999999999
1	1.55027e-07	3.57818e-07	2.781660000000001	768.228	1.9343299999999999
2	3.57818e-07	6.23087e-07	2.781660000000001	6552.09	1.9343299999999999
3	6.23087e-07	9.70086e-07	2.781660000000001	19505.2	1.9343299999999999
4	9.70086e-07	1.42399e-06	2.781660000000001	30598.0	1.9343299999999999
5	1.42399e-06	2.01775e-06	36649.676332	30504.5	1.9343299999999999
6	2.01775e-06	2.79444e-06	43186.4	24063.5	9473.346866000002
7	2.79444e-06	3.81042e-06	37061.4	17162.2	12561.070000000002
8	3.81042e-06	5.13942e-06	30909.180000000004	12110.5	19039.9
9	5.13942e-06	6.87789e-06	23008.110000000004	9045.76	16736.69
10	6.87789e-06	9.15197e-06	16243.599999999999	7451.26	13481.880000000003
11	9.15197e-06	1.21267e-05	10505.514999999998	6922.05	8874.422999999999
12	1.21267e-05	1.60179e-05	7493.454	7108.0	5658.688000000001
13	1.60179e-05	2.1108e-05	5503.5960000000005	7667.06	3957.806
14	2.1108e-05	2.77663e-05	4202.4400000000005	8269.2	3083.7740000000003
15	2.77663e-05	3.64761e-05	3487.57	8577.23	2718.2910000000006
16	3.64761e-05	4.78693e-05	3021.2459999999996	8372.32	2557.5540000000005
17	4.78693e-05	6.27726e-05	2787.848000000001	7702.64	2447.238
18	6.27726e-05	8.22677e-05	2673.8469999999998	6812.82	2298.7769999999996
19	8.22677e-05	0.000107769	2648.686	5946.25	2128.824
20	0.000107769	0.000141127	2641.602	5235.3	1977.3960000000004
21	0.000141127	0.000184763	2582.2219999999998	4702.9	1840.9700000000007
22	0.000184763	0.000241843	2389.269	4312.75	1751.9860000000003
23	0.000241843	0.000316509	2100.3660000000004	4019.93	1701.1009999999997
24	0.000316509	0.00041418	1769.592	3783.01	1655.7200000000003
25	0.00041418	0.000541942	1461.5259999999998	3554.76	1578.1310000000003
26	0.000541942	0.000709068	1214.96	3294.89	1444.299
27	0.000709068	0.000927685	1043.8626000000002	2796.07	1253.2219999999998
28	0.000927685	0.00121366	954.7845000000002	2796.07	1059.3515
29	0.00121366	0.00158773	958.7032000000003	516.672	874.8305999999999
30	0.00158773	0.00207707	1743.0860000000002	516.672	717.1080000000001
31	0.00207707	inf	47.6772	516.672	173.131
