time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.46516e-07	2.781660000000001	7704.89	2.44871
1	1.46516e-07	3.38174e-07	2.781660000000001	7704.89	2.44871
2	3.38174e-07	5.8888e-07	2.781660000000001	19659.3	2.44871
3	5.8888e-07	9.16828e-07	2.781660000000001	24403.6	2.44871
4	9.16828e-07	1.34582e-06	2.781660000000001	24919.3	2.44871
5	1.34582e-06	1.90697e-06	32068.814498	23962.3	8713.744096999999
6	1.90697e-06	2.64102e-06	44936.4	21876.3	29040.09999999999
7	2.64102e-06	3.60123e-06	37061.4	17751.8	23987.219999999994
8	3.60123e-06	4.85727e-06	32276.340000000007	12846.6	21030.63
9	4.85727e-06	6.50029e-06	25070.250000000007	9307.69	19184.8
10	6.50029e-06	8.64953e-06	17712.12	7620.14	13200.300000000001
11	8.64953e-06	1.14609e-05	11332.228999999998	7382.85	8940.258
12	1.14609e-05	1.51385e-05	7966.091999999999	8092.72	6522.328000000001
13	1.51385e-05	1.99492e-05	5789.568	9163.53	5080.772
14	1.99492e-05	2.6242e-05	4379.736000000001	10041.9	4305.487999999999
15	2.6242e-05	3.44735e-05	3596.222	10368.8	3801.803999999999
16	3.44735e-05	4.52412e-05	3086.144	9997.13	3412.857999999999
17	4.52412e-05	5.93264e-05	2822.3820000000005	9012.22	3070.447999999999
18	5.93264e-05	7.77512e-05	2686.685	7699.78	2832.2630000000004
19	7.77512e-05	0.000101853	2650.1620000000003	6381.29	2618.063000000001
20	0.000101853	0.00013338	2643.004	5268.34	2477.1859999999997
21	0.00013338	0.00017462	2595.1059999999998	4428.62	2371.9910000000004
22	0.00017462	0.000228566	2446.876	3842.87	2279.904
23	0.000228566	0.000299133	2186.2210000000005	3475.55	2170.5649999999996
24	0.000299133	0.000391442	1828.844	3300.63	2031.8899999999999
25	0.000391442	0.00051219	1511.868	3294.58	1826.1419999999998
26	0.00051219	0.00067014	1253.176	3441.81	1580.4010000000003
27	0.00067014	0.000876755	1069.0484000000001	5665.59	1329.2160000000001
28	0.000876755	0.00114703	965.8435000000002	5665.59	1102.2649999999996
29	0.00114703	0.00150057	953.5764000000003	155.37	896.9798
30	0.00150057	0.00196303	1569.9180000000001	155.37	737.5237999999998
31	0.00196303	inf	47.6772	155.37	242.941
