time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.10959e-07	2.781660000000001	2.75249	1.36811
1	3.10959e-07	7.17722e-07	2.781660000000001	2.75249	1.36811
2	7.17722e-07	1.24981e-06	2.781660000000001	2.75221	1.36811
3	1.24981e-06	1.94583e-06	27487.952664	2.75221	1.36811
4	1.94583e-06	2.85629e-06	43186.4	2.75223	1.36811
5	2.85629e-06	4.04726e-06	36377.82	489.62	1.793638
6	4.04726e-06	5.60517e-06	30225.600000000006	4289.01	510.046016
7	5.60517e-06	7.64306e-06	20945.970000000005	3699.47	2542.6299999999997
8	7.64306e-06	1.03088e-05	13306.559999999998	2718.9	2288.038
9	1.03088e-05	1.37959e-05	8852.086999999998	2349.4	1868.2299999999998
10	1.37959e-05	1.83573e-05	6311.859	1748.79	1484.6299999999999
11	1.83573e-05	2.43241e-05	4788.666000000001	1212.58	1261.842
12	2.43241e-05	3.21292e-05	3847.8480000000004	941.377	1101.8640000000003
13	3.21292e-05	4.23391e-05	3183.491	800.932	995.4543999999999
14	4.23391e-05	5.56946e-05	2856.916	818.553	916.7593999999999
15	5.56946e-05	7.31649e-05	2699.523	1049.55	868.9159999999999
16	7.31649e-05	9.60177e-05	2652.376	1499.53	853.189
17	9.60177e-05	0.000125911	2644.406	2101.05	881.0352
18	0.000125911	0.000165015	2607.99	2721.25	959.5720000000002
19	0.000165015	0.000216167	2479.102	3237.0	1114.7820000000002
20	0.000216167	0.000283078	2236.983	3593.29	1322.2479999999998
21	0.000283078	0.000370604	1918.944	3791.4	1525.7210000000002
22	0.000370604	0.000485097	1591.836	3840.21	1678.1779999999997
23	0.000485097	0.000634865	1291.3919999999998	3737.54	1715.154
24	0.000634865	0.000830776	1094.2342	3454.29	1642.444
25	0.000830776	0.00108705	976.9025000000001	2814.63	1477.1740000000004
26	0.00108705	0.00142227	948.4496000000003	1622.75	1238.8449999999998
27	0.00142227	0.00186078	1396.7500000000002	413.821	955.7920000000001
28	0.00186078	0.00243439	1829.6700000000005	413.821	688.7733
29	0.00243439	0.00318473	582.2750400000004	1012.23	496.8718
30	0.00318473	0.00416624	47.67719999999999	1012.23	412.04870000000005
31	0.00416624	inf	47.6772	1012.23	352.466
