time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.50817e-07	1.9343299999999999	5.68344	2.44871
1	1.50817e-07	3.481e-07	1.9343299999999999	5.68344	2.44871
2	3.481e-07	6.06165e-07	1.9343299999999999	4274.44	2.44871
3	6.06165e-07	9.4374e-07	1.9343299999999999	35716.4	2.44871
4	9.4374e-07	1.38532e-06	1.9343299999999999	34114.0	2.44871
5	1.38532e-06	1.96295e-06	1.9343299999999999	23636.8	11617.509226
6	1.96295e-06	2.71854e-06	8289.420299	19661.4	29040.09999999999
7	2.71854e-06	3.70694e-06	11841.200000000003	16945.1	23265.379999999997
8	3.70694e-06	4.99985e-06	19039.9	13420.4	20766.94
9	4.99985e-06	6.6911e-06	17065.719999999998	10314.0	18586.35
10	6.6911e-06	8.90342e-06	14048.810000000003	8564.46	13200.300000000001
11	8.90342e-06	1.17974e-05	9276.382	7921.98	8466.92
12	1.17974e-05	1.55829e-05	6060.71	7900.17	6279.254000000001
13	1.55829e-05	2.05347e-05	4050.6	8213.88	4961.3460000000005
14	2.05347e-05	2.70122e-05	3122.6600000000003	8587.19	4238.434
15	2.70122e-05	3.54854e-05	2733.8000000000006	8736.22	3755.606999999999
16	3.54854e-05	4.65692e-05	2578.7100000000005	8520.86	3375.788999999999
17	4.65692e-05	6.10678e-05	2460.084	7964.42	3040.639999999999
18	6.10678e-05	8.00335e-05	2314.0079999999994	7186.29	2791.347
19	8.00335e-05	0.000104842	2160.4919999999997	6331.7	2604.6460000000006
20	0.000104842	0.000137295	1991.5020000000004	5523.68	2467.124
21	0.000137295	0.000179746	1851.3280000000004	4832.37	2363.7580000000003
22	0.000179746	0.000235275	1758.1850000000002	4280.35	2271.29
23	0.000235275	0.000307914	1704.8279999999997	3860.28	2159.0339999999997
24	0.000307914	0.000402932	1659.9950000000003	3552.62	1999.482
25	0.000402932	0.000527224	1585.8020000000004	3344.6	1805.3539999999998
26	0.000527224	0.000689811	1460.2369999999999	3231.82	1557.1740000000004
27	0.000689811	0.00090249	1304.5479999999998	3888.96	1306.528
28	0.00090249	0.0011807	1076.7910000000002	3888.96	1064.9889999999998
29	0.0011807	0.00154461	890.4416999999999	308.792	882.8796
30	0.00154461	0.00202066	729.9192	308.792	721.2466999999998
31	0.00202066	inf	173.131	308.792	242.941
