time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.18709e-07	1.9343299999999999	2.68528	1.36811
1	3.18709e-07	7.35611e-07	1.9343299999999999	2.68528	1.36811
2	7.35611e-07	1.28096e-06	1.9343299999999999	2.68528	1.36811
3	1.28096e-06	1.99433e-06	1.9343299999999999	86.9443	1.36811
4	1.99433e-06	2.92748e-06	9473.346866000002	476.89	1.36811
5	2.92748e-06	4.14814e-06	14000.81	1379.54	1.846829
6	4.14814e-06	5.74487e-06	19039.9	3614.8	764.119014
7	5.74487e-06	7.83356e-06	15749.599999999999	3989.5	2542.6299999999997
8	7.83356e-06	1.05658e-05	10647.23	2425.49	2256.2140000000004
9	1.05658e-05	1.41397e-05	6864.628	1913.8	1808.8699999999997
10	1.41397e-05	1.88149e-05	4653.633000000001	1717.27	1455.398
11	1.88149e-05	2.49304e-05	3401.0420000000004	1364.12	1242.6850000000002
12	2.49304e-05	3.293e-05	2850.4580000000005	1000.37	1090.6050000000002
13	3.293e-05	4.33944e-05	2609.7280000000005	752.232	985.7404999999998
14	4.33944e-05	5.70827e-05	2494.086	715.986	911.6564999999999
15	5.70827e-05	7.49884e-05	2357.316	907.039	868.9159999999999
16	7.49884e-05	9.84108e-05	2207.3909999999996	1324.38	853.4888
17	9.84108e-05	0.00012905	2019.7140000000004	1925.27	885.4264000000001
18	0.00012905	0.000169128	1872.0440000000003	2585.58	969.7340000000002
19	0.000169128	0.000221554	1770.583	3154.63	1131.1480000000001
20	0.000221554	0.000290133	1712.282	3545.54	1342.0439999999999
21	0.000290133	0.000379841	1668.5450000000003	3762.32	1556.847
22	0.000379841	0.000497188	1601.1440000000002	3838.79	1683.2559999999996
23	0.000497188	0.000650688	1484.731	3768.54	1710.7910000000002
24	0.000650688	0.000851482	1336.424	3475.9	1629.8419999999999
25	0.000851482	0.00111414	1147.058	2744.41	1457.9100000000003
26	0.00111414	0.00145772	954.7144999999997	1488.38	1214.2959999999998
27	0.00145772	0.00190716	768.3528	378.117	929.0740000000001
28	0.00190716	0.00249507	629.801	378.117	665.8952
29	0.00249507	0.0032641	536.7970000000001	953.24	496.8718
30	0.0032641	0.00427008	354.9640000000001	953.24	412.04870000000005
31	0.00427008	inf	173.131	953.24	352.466
