time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.11068e-07	2.44871	2.75137	1.36811
1	3.11068e-07	7.17975e-07	2.44871	2.75137	1.36811
2	7.17975e-07	1.25025e-06	2.44871	2.75133	1.36811
3	1.25025e-06	1.94651e-06	8713.744096999999	2.75125	1.36811
4	1.94651e-06	2.8573e-06	29040.09999999999	2.75125	1.36811
5	2.8573e-06	4.04869e-06	22543.54	231.363	1.793638
6	4.04869e-06	5.60714e-06	19975.87	3774.41	510.046016
7	5.60714e-06	7.64575e-06	15594.100000000004	4636.31	2542.6299999999997
8	7.64575e-06	1.03124e-05	10833.609999999997	2755.67	2288.038
9	1.03124e-05	1.38007e-05	7251.550000000002	1889.76	1868.2299999999998
10	1.38007e-05	1.83638e-05	5439.05	1669.54	1484.6299999999999
11	1.83638e-05	2.43327e-05	4506.65	1617.33	1261.842
12	2.43327e-05	3.21405e-05	3940.394999999999	1210.5	1101.8640000000003
13	3.21405e-05	4.2354e-05	3486.995999999999	821.973	995.4543999999999
14	4.2354e-05	5.57142e-05	3159.871999999999	761.173	916.7593999999999
15	5.57142e-05	7.31906e-05	2878.569	987.41	868.9159999999999
16	7.31906e-05	9.60514e-05	2667.0060000000008	1462.05	853.189
17	9.60514e-05	0.000125956	2510.727	2098.53	881.0352
18	0.000125956	0.000165073	2406.752	2741.73	959.5720000000002
19	0.000165073	0.000216243	2305.746	3253.22	1114.7820000000002
20	0.000216243	0.000283177	2205.1579999999994	3585.73	1322.2479999999998
21	0.000283177	0.000370735	2064.298	3762.22	1525.7210000000002
22	0.000370735	0.000485268	1867.7179999999998	3827.7	1678.1779999999997
23	0.000485268	0.000635088	1626.8550000000005	3747.62	1715.154
24	0.000635088	0.000831068	1374.592	3459.64	1642.444
25	0.000831068	0.00108743	1142.6149999999998	2786.7	1477.1740000000004
26	0.00108743	0.00142277	945.2819999999997	1596.15	1238.8449999999998
27	0.00142277	0.00186143	784.1781999999998	414.346	955.7920000000001
28	0.00186143	0.00243525	607.307	414.346	688.7733
29	0.00243525	0.00318585	534.4338	993.711	496.8718
30	0.00318585	0.00416771	242.94100000000003	993.711	412.04870000000005
31	0.00416771	inf	242.941	993.711	352.466
