time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.84311e-06	0.7785929999999998	0.809056	0.722414
1	1.84311e-06	4.67564e-06	0.7785929999999998	0.809056	0.722414
2	4.67564e-06	9.02874e-06	1203.5477186	6.89848	229.97912419999994
3	9.02874e-06	1.57187e-05	1431.519	493.576	1124.1653999999999
4	1.57187e-05	2.59999e-05	982.7004999999997	497.173	955.3296000000003
5	2.59999e-05	4.18004e-05	897.5585999999997	768.871	641.4299000000001
6	4.18004e-05	6.60829e-05	804.2250000000001	780.177	688.0304
7	6.60829e-05	0.000103401	628.1949999999999	576.466	615.7158
8	0.000103401	0.000160752	518.785	376.935	463.0017999999999
9	0.000160752	0.00024889	512.9864	369.77	437.42399999999986
10	0.00024889	0.000384343	625.4350000000002	532.504	532.7058999999999
11	0.000384343	0.00059251	744.6607	748.223	656.4851000000001
12	0.00059251	0.000912426	805.0996000000001	893.494	740.8328000000001
13	0.000912426	0.00140408	792.2393	934.574	750.9249999999998
14	0.00140408	0.00215966	731.2439999999999	905.734	731.8562
15	0.00215966	0.00332086	709.5603999999998	923.056	752.7936000000002
16	0.00332086	0.00510542	788.8804	1043.3	826.4024999999999
17	0.00510542	0.00784797	926.6809999999998	1154.42	824.6595000000001
18	0.00784797	0.0120628	1221.0788000000002	1034.27	715.2245999999999
19	0.0120628	inf	1396.13	1034.27	602.424
