time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.78729e-06	43.63239999999998	0.535259	168.88300000000004
1	2.78729e-06	7.07086e-06	43.63239999999998	0.535259	358.32800000000003
2	7.07086e-06	1.3654e-05	43.63239999999998	0.535474	1124.2526
3	1.3654e-05	2.3771e-05	124.48408000000002	0.535131	1015.6342000000002
4	2.3771e-05	3.93191e-05	195.4216	0.534994	882.6360999999999
5	3.93191e-05	6.32138e-05	230.99649999999997	0.53499	977.8650000000002
6	6.32138e-05	9.99356e-05	272.77900000000005	0.534991	957.5286000000001
7	9.99356e-05	0.000156371	300.1496	7.16503	893.0309999999998
8	0.000156371	0.000243101	319.9626	56.4928	956.2415000000001
9	0.000243101	0.000376391	372.64629999999994	79.8908	1051.842
10	0.000376391	0.000581233	387.3524000000001	161.115	1085.51
11	0.000581233	0.000896039	391.89559999999994	274.534	1014.0855
12	0.000896039	0.00137984	409.1029	551.973	898.8892
13	0.00137984	0.00212336	452.57070000000004	867.241	714.5308
14	0.00212336	0.00326601	638.3242	982.164	497.19699999999995
15	0.00326601	0.00502206	919.9810999999999	943.825	433.6504
16	0.00502206	0.00772081	988.8847999999999	880.514	569.3457999999999
17	0.00772081	0.0118683	1037.8949999999998	870.777	753.1432000000002
18	0.0118683	0.0182423	66280.996	112323.0	795.5510000000003
19	0.0182423	inf	109757.0	112323.0	795.551
