time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.11323e-06	43.63239999999998	0.479305	1.13646
1	3.11323e-06	7.89772e-06	43.63239999999998	0.479305	2334.454292
2	7.89772e-06	1.52506e-05	43.63239999999998	0.478981	2649.892
3	1.52506e-05	2.65507e-05	134.59054	0.478981	2216.144
4	2.65507e-05	4.3917e-05	212.3298	1.45892	1935.5799999999995
5	4.3917e-05	7.06059e-05	232.05159999999995	14.5568	1781.8749999999995
6	7.06059e-05	0.000111622	296.7934	80.5384	1663.2399999999998
7	0.000111622	0.000174656	295.9318	65.0745	1589.1180000000002
8	0.000174656	0.000271529	329.3788	47.3584	1562.3820000000003
9	0.000271529	0.000420405	382.31809999999996	57.0014	1507.321
10	0.000420405	0.000649201	387.9637000000001	104.573	1336.691
11	0.000649201	0.00100082	396.59319999999997	197.892	1036.8602
12	0.00100082	0.0015412	419.3509	459.889	711.2855999999998
13	0.0015412	0.00237166	493.0038	801.408	472.7340000000001
14	0.00237166	0.00364793	735.0055	937.783	440.63340000000005
15	0.00364793	0.00560934	943.8211999999999	931.386	567.7230000000001
16	0.00560934	0.00862367	998.8424	896.565	729.6273000000001
17	0.00862367	0.0132562	1055.3519999999999	905.126	787.812
18	0.0132562	0.0203755	98887.99899999998	100417.0	787.812
19	0.0203755	inf	109757.0	100417.0	787.812
