time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.03082e-06	43.63239999999998	51.3802	0.5197849999999999
1	2.03082e-06	5.15184e-06	43.63239999999998	51.3802	0.5197849999999999
2	5.15184e-06	9.94828e-06	43.63239999999998	32.3549	95.371071
3	9.94828e-06	1.73196e-05	63.84531999999999	416.404	312.93050000000005
4	1.73196e-05	2.86479e-05	144.697	346.859	380.80660000000006
5	2.86479e-05	4.60576e-05	220.78390000000002	376.454	306.5948
6	4.60576e-05	7.28132e-05	232.05159999999995	302.276	364.97779999999995
7	7.28132e-05	0.000113932	296.7934	389.216	372.39170000000007
8	0.000113932	0.000177124	295.9318	470.539	405.5231999999999
9	0.000177124	0.000274239	334.0869	428.852	443.92100000000005
10	0.000274239	0.000423487	382.31809999999996	409.271	437.7555999999999
11	0.000423487	0.000652855	387.9637000000001	466.995	420.18679999999995
12	0.000652855	0.00100535	396.59319999999997	577.784	419.643
13	0.00100535	0.00154708	419.3509	819.798	432.05549999999994
14	0.00154708	0.00237962	493.0038	1088.79	473.7270000000001
15	0.00237962	0.00365908	735.0055	1192.57	648.3052
16	0.00365908	0.00562539	943.8211999999999	1222.27	1086.5926000000002
17	0.00562539	0.00864725	998.8424	1243.86	1646.7999999999997
18	0.00864725	0.0132913	1055.3519999999999	154151.0	4685.02
19	0.0132913	inf	109757.0	154151.0	34663.1
