time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.0544e-06	43.63239999999998	0.48822	1.2024100000000002
1	3.0544e-06	7.74847e-06	43.63239999999998	0.48822	1244.831041
2	7.74847e-06	1.49624e-05	43.63239999999998	0.488206	2534.9260000000004
3	1.49624e-05	2.6049e-05	134.59054	0.488206	2511.246
4	2.6049e-05	4.30871e-05	212.3298	0.488207	2092.752
5	4.30871e-05	6.92716e-05	231.69989999999996	35.3962	1972.834
6	6.92716e-05	0.000109513	288.78860000000003	100.956	2140.504
7	0.000109513	0.000171356	295.9318	70.3928	2233.76
8	0.000171356	0.000266398	329.3788	55.6146	2102.1679999999997
9	0.000266398	0.00041246	382.31809999999996	68.7755	1767.56
10	0.00041246	0.000636933	387.3772000000001	115.373	1402.5449999999998
11	0.000636933	0.000981907	394.80609999999996	201.501	957.5129999999999
12	0.000981907	0.00151207	419.3509	467.795	556.0748
13	0.00151207	0.00232684	493.0038	793.251	354.18680000000006
14	0.00232684	0.00357899	735.0055	928.716	407.3535
15	0.00357899	0.00550333	943.8211999999999	923.223	701.1760000000002
16	0.00550333	0.0084607	998.8424	891.031	1061.7815999999998
17	0.0084607	0.0130057	1049.533	906.383	1145.1
18	0.0130057	0.0199904	88018.99799999999	102380.0	1145.1
19	0.0199904	inf	109757.0	102380.0	1145.1
