time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.00336e-06	43.63239999999998	0.496508	20.2392
1	3.00336e-06	7.61899e-06	43.63239999999998	0.496508	1155.3635
2	7.61899e-06	1.47124e-05	43.63239999999998	0.496502	1322.9320000000002
3	1.47124e-05	2.56137e-05	134.59054	0.496522	1888.82
4	2.56137e-05	4.23671e-05	203.8757	11.3944	1989.0610000000001
5	4.23671e-05	6.8114e-05	231.69989999999996	75.1778	2246.4030000000002
6	6.8114e-05	0.000107682	288.78860000000003	93.9839	2808.678000000001
7	0.000107682	0.000168492	298.0407	76.1337	3025.0950000000003
8	0.000168492	0.000261946	329.3788	59.9545	2595.2400000000002
9	0.000261946	0.000405568	377.4821999999999	73.8975	1954.445
10	0.000405568	0.000626289	387.3772000000001	121.302	1470.561
11	0.000626289	0.000965499	394.80609999999996	208.404	1020.0931999999998
12	0.000965499	0.0014868	416.53060000000005	477.03	663.5842
13	0.0014868	0.00228796	479.5261	808.149	475.7135000000001
14	0.00228796	0.00351919	702.7784	913.679	461.07399999999996
15	0.00351919	0.00541137	935.8744999999999	910.07	458.04589999999996
16	0.00541137	0.00831931	995.5232	876.518	369.3439999999999
17	0.00831931	0.0127883	1049.533	886.216	369.3439999999999
18	0.0127883	0.0196564	88018.99799999999	104166.0	369.3439999999999
19	0.0196564	inf	109757.0	104166.0	369.344
