time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.10389e-06	43.63239999999998	0.708791	105.78900000000003
1	2.10389e-06	5.33719e-06	43.63239999999998	0.708791	105.78900000000003
2	5.33719e-06	1.03062e-05	43.63239999999998	123.646	326.2174
3	1.03062e-05	1.79427e-05	73.95178	147.868	544.859
4	1.79427e-05	2.96786e-05	144.697	351.782	327.9182
5	2.96786e-05	4.77147e-05	229.238	236.753	349.9748
6	4.77147e-05	7.54329e-05	232.40329999999997	362.543	435.90889999999996
7	7.54329e-05	0.000118031	304.79820000000007	411.738	424.58819999999986
8	0.000118031	0.000183496	293.8229	359.732	489.446
9	0.000183496	0.000284105	334.0869	341.62	522.2368
10	0.000284105	0.000438723	387.17879999999997	364.64	469.3644999999999
11	0.000438723	0.000676343	388.52540000000005	443.126	436.7179
12	0.000676343	0.00104152	398.3803	571.148	414.32110000000006
13	0.00104152	0.00160274	422.1712000000001	820.612	403.4328000000001
14	0.00160274	0.00246523	506.4815	1084.0	456.5910000000001
15	0.00246523	0.00379073	767.2326	1184.53	670.882
16	0.00379073	0.00582778	951.7678999999998	1190.57	1111.7615999999998
17	0.00582778	0.00895837	1002.1615999999999	1161.19	15266.7
18	0.00895837	0.0137695	1061.1709999999998	148805.0	136500.0
19	0.0137695	inf	109757.0	148805.0	65.9073
