time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.8388e-06	43.63239999999998	0.525346	79.6617
1	2.8388e-06	7.20152e-06	43.63239999999998	0.525346	396.40102
2	7.20152e-06	1.39063e-05	43.63239999999998	0.525292	742.4237
3	1.39063e-05	2.42102e-05	124.48408000000002	0.525373	826.1674000000002
4	2.42102e-05	4.00456e-05	195.4216	0.525286	763.0351999999998
5	4.00456e-05	6.43818e-05	231.34819999999996	14.32	808.1862
6	6.43818e-05	0.000101782	280.78380000000004	5.33986	855.2959999999998
7	0.000101782	0.00015926	300.1496	12.6853	854.8261
8	0.00015926	0.000247593	324.6707	55.7798	863.8064
9	0.000247593	0.000383346	372.64629999999994	99.4393	895.6519999999999
10	0.000383346	0.000591973	387.3524000000001	154.808	917.8356999999999
11	0.000591973	0.000912596	392.4573	253.585	920.4542
12	0.000912596	0.00140534	411.92319999999995	508.369	862.5731999999999
13	0.00140534	0.00216259	466.0484	873.77	666.1850000000001
14	0.00216259	0.00332636	670.5513	991.457	449.9915000000001
15	0.00332636	0.00511486	927.9277999999998	968.111	507.38709999999986
16	0.00511486	0.00786347	992.204	911.421	814.9046
17	0.00786347	0.0120876	1043.714	894.042	1085.1089
18	0.0120876	0.0185793	77149.99699999999	110227.0	1177.37
19	0.0185793	inf	109757.0	110227.0	1177.37
