time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.21833e-06	168.88300000000004	0.463711	1.13646
1	3.21833e-06	8.16433e-06	434.1060000000001	0.463711	2623.130646
2	8.16433e-06	1.57654e-05	1247.2900000000002	0.463876	2611.07
3	1.57654e-05	2.7447e-05	952.7782000000002	0.463352	2179.7139999999995
4	2.7447e-05	4.53995e-05	889.3036	0.46334	1925.6259999999995
5	4.53995e-05	7.29894e-05	993.5265000000002	0.463339	1781.8749999999995
6	7.29894e-05	0.00011539	926.3366999999998	0.726181	1658.2529999999997
7	0.00011539	0.000180552	903.8964	4.26917	1587.846
8	0.000180552	0.000280695	980.0419999999999	25.6864	1562.3820000000003
9	0.000280695	0.000434597	1077.7500000000002	85.9909	1498.295
10	0.000434597	0.000671117	1065.9759999999999	118.54	1310.843
11	0.000671117	0.00103461	980.0285999999999	202.007	997.9053
12	0.00103461	0.00159322	854.8132	397.284	680.1880999999998
13	0.00159322	0.00245172	633.9021999999999	787.992	465.5996000000001
14	0.00245172	0.00377108	445.3790000000001	1067.21	443.24350000000004
15	0.00377108	0.00579869	482.29870000000005	1085.11	580.793
16	0.00579869	0.00891478	625.9198	1038.02	749.0222000000001
17	0.00891478	0.0137037	795.5510000000003	916.738	787.812
18	0.0137037	0.0210633	795.5510000000003	619.098	787.812
19	0.0210633	inf	795.551	619.098	787.812
