time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.77531e-06	168.88300000000004	0.537409	0.5197849999999999
1	2.77531e-06	7.04048e-06	358.32800000000003	0.537409	0.5197849999999999
2	7.04048e-06	1.35953e-05	1124.2526	0.538081	190.22235700000004
3	1.35953e-05	2.36688e-05	1015.6342000000002	0.53741	370.68770000000006
4	2.36688e-05	3.91501e-05	875.8654999999999	0.537302	332.83700000000005
5	3.91501e-05	6.29421e-05	970.2093000000002	0.5373	333.9572
6	6.29421e-05	9.95061e-05	957.5286000000001	2.63284	375.94640000000004
7	9.95061e-05	0.000155699	892.4521999999998	2.15499	390.64439999999996
8	0.000155699	0.000242056	951.677	40.6607	436.28299999999996
9	0.000242056	0.000374773	1051.842	115.072	444.8067999999999
10	0.000374773	0.000578735	1085.51	163.574	423.83449999999993
11	0.000578735	0.000892188	1014.0855	257.642	418.7746
12	0.000892188	0.00137391	898.8892	498.715	428.47279999999995
13	0.00137391	0.00211423	714.5308	928.87	454.3203
14	0.00211423	0.00325197	497.19699999999995	1037.74	567.204
15	0.00325197	0.00500048	431.6005	1003.8	946.7463000000002
16	0.00500048	0.00768763	569.3457999999999	929.541	1484.445
17	0.00768763	0.0118173	753.1432000000002	916.259	3814.876
18	0.0118173	0.0181639	795.5510000000003	112735.0	22671.868000000002
19	0.0181639	inf	795.551	112735.0	34663.1
