time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.19722e-06	168.88300000000004	0.466596	1.2024100000000002
1	3.19722e-06	8.11078e-06	434.1060000000001	0.466596	1377.2957410000001
2	8.11078e-06	1.5662e-05	1247.2900000000002	0.46645	2543.914
3	1.5662e-05	2.7267e-05	952.7782000000002	0.466402	2484.027
4	2.7267e-05	4.51018e-05	889.3036	0.466398	2086.599
5	4.51018e-05	7.25106e-05	993.5265000000002	0.466399	1977.795
6	7.25106e-05	0.000114633	926.3366999999998	1.33028	2151.174
7	0.000114633	0.000179368	903.3176	18.6805	2229.91
8	0.000179368	0.000278854	980.0419999999999	32.4721	2051.4979999999996
9	0.000278854	0.000431746	1077.7500000000002	50.2975	1748.432
10	0.000431746	0.000666715	1065.9759999999999	104.902	1360.135
11	0.000666715	0.00102782	986.0999999999999	205.795	904.4255
12	0.00102782	0.00158277	854.8132	450.022	522.473
13	0.00158277	0.00243564	633.9021999999999	811.664	352.04600000000005
14	0.00243564	0.00374634	461.04980000000006	946.799	416.92040000000003
15	0.00374634	0.00576066	480.2488	931.258	728.5080000000002
16	0.00576066	0.00885631	625.9198	878.981	1103.4407999999999
17	0.00885631	0.0136138	795.5510000000003	882.796	1145.1
18	0.0136138	0.0209251	795.5510000000003	97765.6	1145.1
19	0.0209251	inf	795.551	97765.6	1145.1
