time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.14691e-06	168.88300000000004	0.474164	187.49928
1	3.14691e-06	7.98314e-06	396.21700000000004	0.474164	1155.3635
2	7.98314e-06	1.54156e-05	1247.2900000000002	0.473884	1352.871
3	1.54156e-05	2.68379e-05	952.7782000000002	0.473916	1915.054
4	2.68379e-05	4.4392e-05	889.3036	0.473856	1986.9050000000002
5	4.4392e-05	7.13695e-05	993.4098000000001	0.776774	2296.67
6	7.13695e-05	0.000112829	932.4335999999998	5.27442	2890.827
7	0.000112829	0.000176545	898.7530999999999	13.8622	2999.056
8	0.000176545	0.000274466	980.0419999999999	32.1942	2525.8959999999997
9	0.000274466	0.000424952	1077.7500000000002	54.6133	1923.46
10	0.000424952	0.000656223	1070.042	111.944	1390.5149999999999
11	0.000656223	0.00101165	986.0999999999999	219.198	973.7447999999997
12	0.00101165	0.00155787	863.3505	450.266	634.5382000000001
13	0.00155787	0.00239731	647.8629999999999	818.659	468.7280000000001
14	0.00239731	0.00368739	461.04980000000006	962.766	466.14599999999984
15	0.00368739	0.00567001	480.2488	952.169	445.3741999999999
16	0.00567001	0.00871694	604.7159	898.535	369.3439999999999
17	0.00871694	0.0133995	795.5510000000003	889.082	369.3439999999999
18	0.0133995	0.0205959	795.5510000000003	99326.9	369.3439999999999
19	0.0205959	inf	795.551	99326.9	369.344
