time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.80455e-06	168.88300000000004	0.531939	105.78900000000003
1	2.80455e-06	7.11464e-06	358.32800000000003	0.531939	105.78900000000003
2	7.11464e-06	1.37385e-05	1124.2526	0.531758	546.6458000000001
3	1.37385e-05	2.39182e-05	1015.6342000000002	0.531715	387.8838
4	2.39182e-05	3.95625e-05	882.6360999999999	0.531703	306.9182
5	3.95625e-05	6.36051e-05	977.8650000000002	0.531699	413.8775
6	6.36051e-05	0.000100554	957.5286000000001	3.62694	425.1364999999999
7	0.000100554	0.000157339	893.0309999999998	7.11487	465.53800000000007
8	0.000157339	0.000244606	956.2415000000001	47.9067	518.319
9	0.000244606	0.000378721	1057.6180000000002	94.9366	491.63259999999985
10	0.000378721	0.000584831	1085.51	155.153	444.96459999999996
11	0.000584831	0.000901587	1014.0855	257.987	421.94840000000005
12	0.000901587	0.00138838	898.8892	521.296	404.7100000000001
13	0.00138838	0.0021365	714.5308	894.609	426.7331000000001
14	0.0021365	0.00328623	497.19699999999995	1012.78	553.9118000000001
15	0.00328623	0.00505316	433.6504	973.148	951.0839999999997
16	0.00505316	0.00776861	583.512	886.674	1576.9740000000002
17	0.00776861	0.0119418	774.3471000000002	856.19	109592.45199999999
18	0.0119418	0.0183552	795.5510000000003	111618.0	40996.135110000025
19	0.0183552	inf	795.551	111618.0	65.9073
