time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.54157e-06	168.88300000000004	0.967315	79.6617
1	1.54157e-06	3.91068e-06	168.88300000000004	0.967315	79.6617
2	3.91068e-06	7.55159e-06	471.99500000000006	0.967324	554.77068
3	7.55159e-06	1.3147e-05	1213.8813	2.91101	742.4237
4	1.3147e-05	2.17462e-05	1064.7428000000002	26.3876	817.6374000000002
5	2.17462e-05	3.49616e-05	869.1979999999999	35.7052	768.8673999999999
6	3.49616e-05	5.52713e-05	954.6645000000001	143.912	789.2416
7	5.52713e-05	8.64838e-05	975.7026000000003	141.474	847.7548999999999
8	8.64838e-05	0.000134452	903.6169999999998	208.333	854.4534999999997
9	0.000134452	0.00020817	918.7475000000002	384.649	858.3165
10	0.00020817	0.000321462	1022.3820000000002	640.908	879.5595000000002
11	0.000321462	0.000495572	1084.15	949.244	912.7674000000002
12	0.000495572	0.000763148	1047.4071	1185.35	921.9604999999997
13	0.000763148	0.00117436	951.2525999999998	1277.9	903.2388
14	0.00117436	0.00180633	800.5605	1202.68	762.1298
15	0.00180633	0.00277755	573.385	1096.19	528.2666
16	0.00277755	0.00427014	439.86760000000004	1151.13	438.22349999999994
17	0.00427014	0.006564	526.8472	1196.56	690.9452
18	0.006564	0.0100892	689.5315000000002	203575.0	962.0940999999999
19	0.0100892	inf	795.551	203575.0	1177.37
