time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.10736e-06	1.13646	0.480046	0.5197849999999999
1	3.10736e-06	7.88282e-06	2334.454292	0.480046	0.5197849999999999
2	7.88282e-06	1.52219e-05	2649.892	0.480199	244.04817850000006
3	1.52219e-05	2.65007e-05	2216.144	0.479913	382.04100000000005
4	2.65007e-05	4.38342e-05	1935.5799999999995	7.67194	319.71590000000003
5	4.38342e-05	7.04727e-05	1781.8749999999995	7.17769	359.26849999999996
6	7.04727e-05	0.000111411	1663.2399999999998	47.5985	373.5766000000001
7	0.000111411	0.000174327	1589.1180000000002	103.666	399.17339999999996
8	0.000174327	0.000271017	1562.3820000000003	52.9884	443.92100000000005
9	0.000271017	0.000419612	1507.321	54.4175	439.0719999999999
10	0.000419612	0.000647977	1336.691	98.8224	420.18679999999995
11	0.000647977	0.000998933	1036.8602	191.021	419.643
12	0.000998933	0.00153829	711.2855999999998	446.949	432.05549999999994
13	0.00153829	0.00236719	472.7340000000001	817.513	473.7270000000001
14	0.00236719	0.00364105	440.63340000000005	973.035	648.3052
15	0.00364105	0.00559876	567.7230000000001	968.173	1086.5926000000002
16	0.00559876	0.0086074	729.6273000000001	914.614	1646.7999999999997
17	0.0086074	0.0132312	787.812	900.399	4394.972
18	0.0132312	0.020337	787.812	100585.0	28667.484000000004
19	0.020337	inf	787.812	100585.0	34663.1
