time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.21535e-06	1.13646	1.22714	1.2024100000000002
1	1.21535e-06	3.08313e-06	1.13646	1.22714	1.2024100000000002
2	3.08313e-06	5.95358e-06	2310.5472919999997	1.22695	753.4108819999999
3	5.95358e-06	1.0365e-05	2920.799	1.22695	2360.175
4	1.0365e-05	1.71444e-05	2464.5099999999998	1.22695	2633.588
5	1.71444e-05	2.75633e-05	2157.4629999999997	135.063	2446.577
6	2.75633e-05	4.35753e-05	1935.5799999999995	293.008	2092.752
7	4.35753e-05	6.81828e-05	1789.4379999999996	243.257	1972.834
8	6.81828e-05	0.000106	1675.1139999999996	290.388	2118.068
9	0.000106	0.000164119	1593.1300000000003	486.586	2240.51
10	0.000164119	0.000253437	1566.0100000000002	963.001	2116.5499999999997
11	0.000253437	0.000390703	1516.347	1383.28	1804.8319999999999
12	0.000390703	0.000601657	1377.7520000000002	1609.88	1444.9549999999997
13	0.000601657	0.000925855	1095.938	1569.69	1037.4790999999998
14	0.000925855	0.00142409	747.3173999999998	1367.03	589.6766
15	0.00142409	0.00218979	500.0844000000001	1175.19	358.6435000000001
16	0.00218979	0.00336653	435.4132000000001	1137.05	385.9038
17	0.00336653	0.00517498	541.5830000000001	1274.53	646.5120000000001
18	0.00517498	0.00795424	690.8375000000001	258537.0	978.4631999999999
19	0.00795424	inf	787.812	258537.0	1145.1
