time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.15033e-06	1.13646	1.29644	20.2392
1	1.15033e-06	2.91818e-06	1.13646	1.29644	187.49928
2	2.91818e-06	5.63506e-06	2021.8709379999998	1.29633	1403.7578999999996
3	5.63506e-06	9.81042e-06	2951.652	1.29631	973.3591999999999
4	9.81042e-06	1.62272e-05	2510.4539999999997	2.58029	1506.1599999999999
5	1.62272e-05	2.60887e-05	2193.8929999999996	249.765	1917.21
6	2.60887e-05	4.1244e-05	1945.5339999999997	371.867	1991.3660000000002
7	4.1244e-05	6.4535e-05	1805.1879999999999	411.253	2162.016
8	6.4535e-05	0.000100329	1686.9879999999998	413.83	2749.0850000000005
9	0.000100329	0.000155338	1598.6100000000004	639.936	3053.1450000000004
10	0.000155338	0.000239878	1568.46	1106.11	2688.458
11	0.000239878	0.0003698	1531.5500000000002	1551.34	2116.8979999999997
12	0.0003698	0.000569467	1403.6	1723.17	1578.4589999999998
13	0.000569467	0.000876321	1133.602	1601.5	1112.79
14	0.000876321	0.0013479	805.5790999999998	1352.37	727.2687999999999
15	0.0013479	0.00207263	533.382	1149.43	511.3159000000001
16	0.00207263	0.00318642	428.8192	1109.44	450.93000000000006
17	0.00318642	0.00489811	528.513	1148.08	496.0609999999999
18	0.00489811	0.00752868	671.4426000000001	273400.0	369.3439999999999
19	0.00752868	inf	787.812	273400.0	369.344
