time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.12667e-06	1.13646	0.477067	105.78900000000003
1	3.12667e-06	7.9318e-06	2334.454292	0.477067	105.78900000000003
2	7.9318e-06	1.53164e-05	2649.892	0.477198	612.0596000000002
3	1.53164e-05	2.66653e-05	2216.144	0.476931	357.901
4	2.66653e-05	4.41065e-05	1935.5799999999995	0.68648	323.93420000000003
5	4.41065e-05	7.09105e-05	1781.8749999999995	16.7993	429.40549999999996
6	7.09105e-05	0.000112104	1663.2399999999998	72.9392	425.45839999999987
7	0.000112104	0.00017541	1589.1180000000002	63.1202	480.34960000000007
8	0.00017541	0.000272701	1562.3820000000003	42.3245	523.1850000000001
9	0.000272701	0.000422219	1504.472	52.5562	475.78129999999993
10	0.000422219	0.000652002	1326.056	100.059	439.4668
11	0.000652002	0.00100514	1036.8602	193.295	415.27290000000005
12	0.00100514	0.00154785	711.2855999999998	459.236	403.2240000000001
13	0.00154785	0.00238189	472.7340000000001	797.41	448.52650000000006
14	0.00238189	0.00366367	440.63340000000005	949.457	638.7645
15	0.00366367	0.00563354	567.7230000000001	930.62	1045.9224
16	0.00563354	0.00866088	729.6273000000001	885.154	1763.1480000000001
17	0.00866088	0.0133134	787.812	875.475	136500.0
18	0.0133134	0.0204634	787.812	100003.0	13709.316569999999
19	0.0204634	inf	787.812	100003.0	65.9073
