time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.26975e-06	1.13646	0.456181	79.6617
1	3.26975e-06	8.29478e-06	2631.099646	0.456181	554.77068
2	8.29478e-06	1.60174e-05	2611.07	0.456073	751.2943000000001
3	1.60174e-05	2.78856e-05	2179.7139999999995	0.456106	816.0862000000001
4	2.78856e-05	4.6125e-05	1925.6259999999995	0.456055	760.4764999999999
5	4.6125e-05	7.41556e-05	1766.1249999999995	0.456052	831.8603999999999
6	7.41556e-05	0.000117234	1651.3659999999995	1.48448	854.9195999999997
7	0.000117234	0.000183437	1585.106	25.7798	855.2286000000001
8	0.000183437	0.00028518	1558.355	28.7684	873.7720000000002
9	0.00028518	0.000441541	1498.295	49.9789	906.3272000000001
10	0.000441541	0.00068184	1310.843	102.921	920.4619999999998
11	0.00068184	0.00105114	997.9053	198.248	918.6348000000002
12	0.00105114	0.00161868	667.1064999999999	446.105	815.7479999999999
13	0.00161868	0.0024909	465.5996000000001	798.307	569.0668999999999
14	0.0024909	0.00383133	443.24350000000004	899.424	442.9307
15	0.00383133	0.00589135	580.793	870.224	580.3474
16	0.00589135	0.00905723	749.0222000000001	803.753	869.833
17	0.00905723	0.0139226	787.812	780.235	1177.37
18	0.0139226	0.0213999	787.812	95693.2	1177.37
19	0.0213999	inf	787.812	95693.2	1177.37
