time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.05057e-06	0.5197849999999999	0.488868	1.2024100000000002
1	3.05057e-06	7.73876e-06	0.5197849999999999	0.488868	1244.831041
2	7.73876e-06	1.49437e-05	228.99167850000006	0.488828	2534.9260000000004
3	1.49437e-05	2.60163e-05	383.27540000000005	0.488833	2511.246
4	2.60163e-05	4.30331e-05	315.62420000000003	0.488826	2092.752
5	4.30331e-05	6.91847e-05	353.5592	35.3852	1978.9869999999999
6	6.91847e-05	0.000109375	373.5766000000001	102.219	2140.504
7	0.000109375	0.000171141	399.17339999999996	75.9668	2233.76
8	0.000171141	0.000266064	443.0296	53.3285	2102.1679999999997
9	0.000266064	0.000411943	439.6671999999999	62.5261	1767.56
10	0.000411943	0.000636134	421.46789999999993	108.759	1402.5449999999998
11	0.000636134	0.000980676	419.643	197.839	957.5129999999999
12	0.000980676	0.00151018	432.05549999999994	459.124	556.0748
13	0.00151018	0.00232392	468.51930000000004	810.101	354.18680000000006
14	0.00232392	0.00357451	636.2374000000001	955.882	407.3535
15	0.00357451	0.00549643	1027.7768	946.67	701.1760000000002
16	0.00549643	0.00845009	1612.3649999999998	896.088	1061.7815999999998
17	0.00845009	0.0129893	4394.972	873.851	1145.1
18	0.0129893	0.0199654	28667.484000000004	102517.0	1145.1
19	0.0199654	inf	34663.1	102517.0	1145.1
