time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.99927e-06	0.5197849999999999	0.497194	20.2392
1	2.99927e-06	7.60862e-06	0.5197849999999999	0.497194	1155.3635
2	7.60862e-06	1.46924e-05	228.99167850000006	0.497206	1322.9320000000002
3	1.46924e-05	2.55788e-05	383.27540000000005	7.5022	1888.82
4	2.55788e-05	4.23094e-05	315.62420000000003	12.8685	1989.0610000000001
5	4.23094e-05	6.80213e-05	353.5592	43.2549	2246.4030000000002
6	6.80213e-05	0.000107536	373.5766000000001	113.866	2808.678000000001
7	0.000107536	0.000168263	399.17339999999996	86.4481	3025.0950000000003
8	0.000168263	0.00026159	440.5477	56.652	2595.2400000000002
9	0.00026159	0.000405016	440.9835999999999	66.4003	1954.445
10	0.000405016	0.000625437	421.46789999999993	115.567	1470.561
11	0.000625437	0.000964185	419.111	208.104	1020.0931999999998
12	0.000964185	0.00148478	430.64559999999994	470.848	663.5842
13	0.00148478	0.00228484	466.62750000000005	812.069	475.7135000000001
14	0.00228484	0.0035144	613.7885	950.344	461.07399999999996
15	0.0035144	0.00540401	1027.7768	938.544	458.04589999999996
16	0.00540401	0.008308	1612.3649999999998	889.166	369.3439999999999
17	0.008308	0.0127709	4394.972	870.797	369.3439999999999
18	0.0127709	0.0196296	28667.484000000004	104300.0	369.3439999999999
19	0.0196296	inf	34663.1	104300.0	369.344
