time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.05395e-06	0.5197849999999999	0.726004	105.78900000000003
1	2.05395e-06	5.2105e-06	0.5197849999999999	0.726004	105.78900000000003
2	5.2105e-06	1.00616e-05	95.371071	22.8576	326.2174
3	1.00616e-05	1.75168e-05	312.93050000000005	236.378	544.859
4	1.75168e-05	2.89742e-05	379.57220000000007	357.199	327.9182
5	2.89742e-05	4.65821e-05	306.5948	323.998	345.9791
6	4.65821e-05	7.36423e-05	364.97779999999995	354.147	432.65719999999993
7	7.36423e-05	0.000115229	372.39170000000007	344.529	427.52069999999986
8	0.000115229	0.000179141	405.5231999999999	347.591	480.34960000000007
9	0.000179141	0.000277361	443.92100000000005	430.718	522.2368
10	0.000277361	0.000428309	437.7555999999999	445.519	475.78129999999993
11	0.000428309	0.000660289	420.18679999999995	462.425	438.2698
12	0.000660289	0.0010168	420.822	556.244	415.27290000000005
13	0.0010168	0.0015647	432.05549999999994	767.683	403.4328000000001
14	0.0015647	0.00240672	473.7270000000001	1129.67	450.9266000000001
15	0.00240672	0.00370075	670.7541000000001	1388.14	638.7645
16	0.00370075	0.00568945	1086.5926000000002	1326.16	1082.7623999999998
17	0.00568945	0.00874572	1646.7999999999997	981.683	1763.1480000000001
18	0.00874572	0.0134427	4685.02	648.519	136500.0
19	0.0134427	inf	34663.1	648.519	65.9073
