time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.81461e-06	0.5197849999999999	0.531476	79.6617
1	2.81461e-06	7.14017e-06	0.5197849999999999	0.531476	396.40102
2	7.14017e-06	1.37878e-05	190.22235700000004	0.5301	742.4237
3	1.37878e-05	2.4004e-05	384.50980000000004	0.529806	826.1674000000002
4	2.4004e-05	3.97045e-05	324.23060000000004	0.529808	763.0351999999998
5	3.97045e-05	6.38334e-05	343.7582	9.91531	808.1862
6	6.38334e-05	0.000100915	375.94640000000004	8.73844	852.6283
7	0.000100915	0.000157903	391.4376	9.07576	854.6719999999999
8	0.000157903	0.000245484	437.1744	48.3752	863.8064
9	0.000245484	0.00038008	442.8951999999999	105.862	893.5345
10	0.00038008	0.00058693	423.83449999999993	155.579	917.8356999999999
11	0.00058693	0.000904822	418.7746	253.573	920.4542
12	0.000904822	0.00139337	429.23569999999995	486.71	873.8648
13	0.00139337	0.00214417	454.3203	899.472	666.1850000000001
14	0.00214417	0.00329802	579.2718	1045.45	449.9915000000001
15	0.00329802	0.00507129	998.4860000000002	1020.78	493.28449999999987
16	0.00507129	0.00779649	1513.97	960.773	814.9046
17	0.00779649	0.0119846	4104.924	939.818	1085.1089
18	0.0119846	0.0184211	22671.868000000002	111111.0	1177.37
19	0.0184211	inf	34663.1	111111.0	1177.37
