time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.07945e-07	1.2024100000000002	2.45283	20.2392
1	6.07945e-07	1.54225e-06	1.2024100000000002	2.45283	20.2392
2	1.54225e-06	2.97811e-06	1.2024100000000002	477.802	187.49928
3	2.97811e-06	5.18477e-06	659.384823	1427.77	1500.1185999999998
4	5.18477e-06	8.57602e-06	1868.7159000000004	1419.88	891.9837999999999
5	8.57602e-06	1.37878e-05	2557.2929999999997	1850.66	1322.9320000000002
6	1.37878e-05	2.17973e-05	2594.6399999999994	1464.92	1802.1009999999999
7	2.17973e-05	3.41065e-05	2272.1989999999996	1773.48	2017.8340000000003
8	3.41065e-05	5.30236e-05	1983.7549999999999	2759.48	2029.1879999999999
9	5.30236e-05	8.20958e-05	2027.976	3872.46	2473.1040000000003
10	8.20958e-05	0.000126775	2197.8499999999995	4386.65	2972.9760000000006
11	0.000126775	0.000195438	2222.21	4007.66	2922.95
12	0.000195438	0.000300961	1986.4459999999997	3271.21	2387.2079999999996
13	0.000300961	0.000463132	1670.2819999999997	2511.11	1805.7859999999998
14	0.000463132	0.00071236	1289.0001000000002	1793.82	1339.878
15	0.00071236	0.00109538	851.3380000000002	1261.34	905.5879999999997
16	0.00109538	0.00168401	476.48079999999993	995.004	593.7655000000001
17	0.00168401	0.00258863	352.22110000000004	964.076	454.7570000000001
18	0.00258863	0.00397888	453.8193	811.59	478.11199999999985
19	0.00397888	inf	1145.1	811.59	369.344
