time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.07251e-06	1.2024100000000002	0.485355	105.78900000000003
1	3.07251e-06	7.79442e-06	1377.2957410000001	0.485355	105.78900000000003
2	7.79442e-06	1.50512e-05	2534.9260000000004	0.485329	556.9525000000001
3	1.50512e-05	2.62035e-05	2511.246	0.485328	357.901
4	2.62035e-05	4.33426e-05	2092.752	0.48533	323.93420000000003
5	4.33426e-05	6.96824e-05	1977.795	26.3708	429.40549999999996
6	6.96824e-05	0.000110162	2140.504	103.029	426.3285999999999
7	0.000110162	0.000172372	2236.66	73.148	476.9684000000001
8	0.000172372	0.000267977	2084.024	50.3343	523.1850000000001
9	0.000267977	0.000414906	1767.56	61.3944	478.7989999999999
10	0.000414906	0.00064071	1402.5449999999998	106.246	439.4668
11	0.00064071	0.00098773	957.5129999999999	192.714	417.7336
12	0.00098773	0.00152104	556.0748	461.53	403.2240000000001
13	0.00152104	0.00234064	354.18680000000006	802.783	448.52650000000006
14	0.00234064	0.00360022	407.3535	945.585	618.1468
15	0.00360022	0.00553597	701.1760000000002	927.862	1045.9224
16	0.00553597	0.00851087	1061.7815999999998	880.315	1763.1480000000001
17	0.00851087	0.0130828	1145.1	869.518	123046.226
18	0.0130828	0.020109	1145.1	101793.0	27352.72584
19	0.020109	inf	1145.1	101793.0	65.9073
