time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.24759e-06	1.2024100000000002	0.459203	79.6617
1	3.24759e-06	8.23857e-06	1377.2957410000001	0.459203	554.77068
2	8.23857e-06	1.59088e-05	2543.914	0.459335	751.2943000000001
3	1.59088e-05	2.76966e-05	2465.3020000000006	0.459181	816.0862000000001
4	2.76966e-05	4.58124e-05	2067.041	0.459165	760.4764999999999
5	4.58124e-05	7.3653e-05	1982.7559999999999	0.459163	826.6366999999999
6	7.3653e-05	0.000116439	2173.6099999999997	11.6705	854.9195999999997
7	0.000116439	0.000182194	2232.81	23.1821	855.2286000000001
8	0.000182194	0.000283248	2037.1159999999995	21.4316	871.9370000000001
9	0.000283248	0.000438549	1709.357	44.7518	904.2097000000001
10	0.000438549	0.000677219	1360.135	101.016	920.4619999999998
11	0.000677219	0.00104401	904.4255	198.737	918.6348000000002
12	0.00104401	0.00160771	510.0825999999999	460.022	815.7479999999999
13	0.00160771	0.00247401	354.36190000000005	797.834	569.0668999999999
14	0.00247401	0.00380537	416.92040000000003	892.347	439.74240000000003
15	0.00380537	0.00585142	728.5080000000002	865.748	580.3474
16	0.00585142	0.00899584	1103.4407999999999	800.76	869.833
17	0.00899584	0.0138283	1145.1	784.298	1146.6163
18	0.0138283	0.0212548	1145.1	96353.9	1177.37
19	0.0212548	inf	1145.1	96353.9	1177.37
