time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.02036e-06	187.49928	0.493733	105.78900000000003
1	3.02036e-06	7.66213e-06	1155.3635	0.493733	105.78900000000003
2	7.66213e-06	1.47957e-05	1322.9320000000002	0.493739	579.3527000000001
3	1.47957e-05	2.57587e-05	1888.82	0.493707	372.8924
4	2.57587e-05	4.26069e-05	1986.9050000000002	6.74216	310.9139
5	4.26069e-05	6.84997e-05	2246.4030000000002	58.5879	426.1538
6	6.84997e-05	0.000108292	2831.234000000001	101.505	426.3285999999999
7	0.000108292	0.000169446	3025.0950000000003	77.3977	471.25320000000005
8	0.000169446	0.000263429	2595.2400000000002	53.475	523.1850000000001
9	0.000263429	0.000407864	1954.445	66.3078	482.1980999999999
10	0.000407864	0.000629835	1444.464	113.23	442.21569999999997
11	0.000629835	0.000970966	1020.0931999999998	201.699	417.7336
12	0.000970966	0.00149522	663.5842	463.908	403.2240000000001
13	0.00149522	0.00230091	469.6390000000001	813.755	442.86210000000005
14	0.00230091	0.00353911	461.07399999999996	947.215	618.1468
15	0.00353911	0.00544201	458.04589999999996	933.326	1016.9231999999998
16	0.00544201	0.00836642	369.3439999999999	886.967	1713.3700000000003
17	0.00836642	0.0128607	369.3439999999999	874.213	123046.226
18	0.0128607	0.0197677	369.3439999999999	103564.0	27352.72584
19	0.0197677	inf	369.344	103564.0	65.9073
