time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.19712e-06	187.49928	0.466566	79.6617
1	3.19712e-06	8.11052e-06	1099.6905000000002	0.466566	554.77068
2	8.11052e-06	1.56615e-05	1384.008	0.466621	736.0435000000001
3	1.56615e-05	2.72661e-05	1915.054	0.46644	819.4466000000001
4	2.72661e-05	4.51003e-05	1982.4440000000002	0.466428	757.2029999999999
5	4.51003e-05	7.25083e-05	2296.67	0.466412	826.6366999999999
6	7.25083e-05	0.00011463	2890.827	18.8577	854.9195999999997
7	0.00011463	0.000179362	2975.028	16.2887	855.0745000000002
8	0.000179362	0.000278845	2525.8959999999997	24.1774	871.0618000000002
9	0.000278845	0.000431733	1923.46	49.3977	904.2097000000001
10	0.000431733	0.000666694	1390.5149999999999	109.181	920.1488999999999
11	0.000666694	0.00102779	951.9363999999997	209.511	918.6348000000002
12	0.00102779	0.00158272	634.5382000000001	464.63	815.7479999999999
13	0.00158272	0.00243556	462.6535000000001	793.505	581.7082999999999
14	0.00243556	0.00374622	472.1289999999999	919.177	439.74240000000003
15	0.00374622	0.00576048	445.3741999999999	893.079	566.2447999999999
16	0.00576048	0.00885603	369.3439999999999	824.558	869.833
17	0.00885603	0.0136133	369.3439999999999	798.96	1146.6163
18	0.0136133	0.0209245	369.3439999999999	97861.5	1177.37
19	0.0209245	inf	369.344	97861.5	1177.37
