time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.80638e-06	105.78900000000003	0.531832	79.6617
1	2.80638e-06	7.11928e-06	105.78900000000003	0.531832	396.40102
2	7.11928e-06	1.37475e-05	546.6458000000001	0.532061	742.4237
3	1.37475e-05	2.39338e-05	387.8838	0.531371	826.1674000000002
4	2.39338e-05	3.95883e-05	306.9182	0.531354	763.0351999999998
5	3.95883e-05	6.36466e-05	413.8775	4.96587	808.1862
6	6.36466e-05	0.00010062	425.1364999999999	13.3685	852.6283
7	0.00010062	0.000157441	465.53800000000007	13.7375	854.6719999999999
8	0.000157441	0.000244766	518.319	43.4197	863.8064
9	0.000244766	0.000378968	491.63259999999985	108.337	893.5345
10	0.000378968	0.000585213	444.96459999999996	156.878	917.8356999999999
11	0.000585213	0.000902175	421.94840000000005	254.365	920.4542
12	0.000902175	0.00138929	404.7100000000001	492.621	873.8648
13	0.00138929	0.0021379	426.7331000000001	897.927	666.1850000000001
14	0.0021379	0.00328837	553.9118000000001	1041.16	449.9915000000001
15	0.00328837	0.00505645	951.0839999999997	1019.84	493.28449999999987
16	0.00505645	0.00777368	1626.7520000000004	943.474	814.9046
17	0.00777368	0.0119496	109592.45199999999	887.889	1085.1089
18	0.0119496	0.0183672	40996.135110000025	111484.0	1177.37
19	0.0183672	inf	65.9073	111484.0	1177.37
