time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.8905e-06	2609.4599999999996	0.761019	5.071269999999999
1	2.8905e-06	6.54398e-06	8248.216	0.761019	5.071269999999999
2	6.54398e-06	1.11619e-05	3225.204	0.761024	5.071269999999999
3	1.11619e-05	1.69987e-05	2625.0	2.04586	3.5823490000000007
4	1.69987e-05	2.43762e-05	2002.8379999999997	125.223	1802.18712
5	2.43762e-05	3.37012e-05	1520.6529999999998	85.8864	4261.258
6	3.37012e-05	4.54876e-05	1204.1200000000001	40.2941	5399.539999999999
7	4.54876e-05	6.03852e-05	1028.3300000000002	95.2039	5501.126
8	6.03852e-05	7.92152e-05	983.8158000000001	323.703	5063.168000000001
9	7.92152e-05	0.000103016	1042.8212	369.539	4644.858000000001
10	0.000103016	0.000133099	1176.77	220.442	4261.549
11	0.000133099	0.000171122	1354.766	124.134	3914.6059999999993
12	0.000171122	0.000219183	1530.5039999999997	96.2049	3525.7560000000003
13	0.000219183	0.00027993	1649.5599999999997	114.327	3093.304
14	0.00027993	0.000356712	1671.03	175.929	2573.0440000000003
15	0.000356712	0.000453762	1586.5420000000001	288.654	2129.7850000000003
16	0.000453762	0.00057643	1420.5199999999998	450.745	1675.8729999999998
17	0.00057643	0.000731477	1214.4640000000002	644.806	1334.3
18	0.000731477	0.000927451	1009.0887999999998	845.565	1077.2426
19	0.000927451	0.00117516	849.8385	1028.49	924.4300000000001
20	0.00117516	0.00148825	715.8704999999999	1172.76	842.9332999999998
21	0.00148825	0.00188398	632.946	1265.33	810.1384999999999
22	0.00188398	0.00238417	599.349	1305.01	815.0564999999998
23	0.00238417	0.0030164	607.1092000000001	1297.75	821.7809999999998
24	0.0030164	0.00381551	669.2224000000001	1251.04	212.94740000000007
25	0.00381551	0.00482556	733.6570000000002	1178.48	60.73900000000001
26	0.00482556	0.00610223	785.2222000000002	1096.5	60.73900000000001
27	0.00610223	0.00771589	905.5410000000002	969.382	60.73900000000001
28	0.00771589	0.0097555	905.5410000000002	969.382	60.73900000000001
29	0.0097555	0.0123335	905.5410000000002	685.869	60.73900000000001
30	0.0123335	0.015592	905.5410000000002	685.869	60.73900000000001
31	0.015592	inf	905.541	685.869	60.739
