time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.12056e-06	2609.4599999999996	0.764304	1137.99
1	1.12056e-06	2.58635e-06	2609.4599999999996	0.764304	5316.314
2	2.58635e-06	4.50375e-06	7265.904	0.764356	8735.419999999998
3	4.50375e-06	7.0119e-06	6332.4699999999975	0.763761	5186.641
4	7.0119e-06	1.02928e-05	3294.445	0.763753	4326.046
5	1.02928e-05	1.45845e-05	2746.2149999999997	7.11737	3577.125
6	1.45845e-05	2.01985e-05	2276.83	62.2756	2732.2180000000003
7	2.01985e-05	2.75422e-05	1811.3339999999998	31.7809	2229.8889999999997
8	2.75422e-05	3.71484e-05	1388.417	39.7878	2104.54
9	3.71484e-05	4.97142e-05	1140.28	97.5467	2291.58
10	4.97142e-05	6.61516e-05	999.4640000000002	219.831	2716.772000000001
11	6.61516e-05	8.76532e-05	985.6137000000001	379.833	3268.0229999999997
12	8.76532e-05	0.000115779	1071.1253000000002	323.861	3749.6060000000007
13	0.000115779	0.000152571	1259.886	183.337	3909.0929999999994
14	0.000152571	0.000200698	1480.5869999999998	108.804	3608.826
15	0.000200698	0.000263653	1632.0599999999997	107.029	3044.4599999999996
16	0.000263653	0.000346005	1675.54	160.303	2425.734
17	0.000346005	0.000453728	1599.1200000000001	276.227	1868.6949999999995
18	0.000453728	0.000594641	1420.5199999999998	456.602	1402.8259999999998
19	0.000594641	0.000778968	1192.978	679.439	1027.8264000000001
20	0.000778968	0.00102009	969.2783999999997	909.512	747.5020000000001
21	0.00102009	0.00133549	786.1348999999999	1110.04	564.3449
22	0.00133549	0.00174807	655.8147999999999	1248.21	466.2182000000001
23	0.00174807	0.00228777	602.3556	1309.05	457.8188
24	0.00228777	0.00299374	603.9164000000001	1299.2	504.74600000000004
25	0.00299374	0.00391723	679.9615000000001	1237.1	510.6051999999999
26	0.00391723	0.00512523	733.6570000000002	1146.56	519.3939999999999
27	0.00512523	0.00670542	853.9758000000002	994.084	519.3939999999999
28	0.00670542	0.00877246	905.5410000000002	994.084	519.3939999999999
29	0.00877246	0.0114763	905.5410000000002	605.696	519.3939999999999
30	0.0114763	0.0150133	905.5410000000002	605.696	519.3939999999999
31	0.0150133	inf	905.541	605.696	519.394
