time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.92757e-06	2609.4599999999996	0.751498	4848.6
1	2.92757e-06	6.62792e-06	7575.2609999999995	0.751498	8358.86
2	6.62792e-06	1.1305e-05	3225.204	0.751453	20061.880000000005
3	1.1305e-05	1.72167e-05	2625.0	0.751398	13283.800000000003
4	1.72167e-05	2.46889e-05	2002.8379999999997	0.751381	10759.13
5	2.46889e-05	3.41334e-05	1487.5939999999998	0.751375	8953.266
6	3.41334e-05	4.6071e-05	1182.84	0.751376	8001.990000000001
7	4.6071e-05	6.11597e-05	1028.3300000000002	0.751376	7675.179000000002
8	6.11597e-05	8.02312e-05	983.8158000000001	12.9137	7631.812999999998
9	8.02312e-05	0.000104337	1042.8212	90.7459	7738.978
10	0.000104337	0.000134806	1192.8049999999998	117.29	7714.871999999999
11	0.000134806	0.000173317	1373.7420000000002	109.709	7268.730000000001
12	0.000173317	0.000221994	1547.1429999999998	120.276	6262.7609999999995
13	0.000221994	0.000283521	1658.3099999999997	165.469	4510.68
14	0.000283521	0.000361287	1668.775	255.594	2732.1049999999996
15	0.000361287	0.000459582	1573.9640000000002	398.576	1235.244
16	0.000459582	0.000583823	1420.5199999999998	573.563	545.1981
17	0.000583823	0.000740859	1214.4640000000002	755.159	251.65460000000002
18	0.000740859	0.000939347	1009.0887999999998	918.291	208.89600000000002
19	0.000939347	0.00119023	833.9125999999999	1041.15	3423.0756
20	0.00119023	0.00150733	705.0027999999999	1110.35	8121.059999999999
21	0.00150733	0.00190814	632.946	1125.67	6.27014
22	0.00190814	0.00241475	599.349	1094.82	6.27014
23	0.00241475	0.00305509	610.3019999999999	1030.51	6.27014
24	0.00305509	0.00386445	679.9615000000001	957.086	6.27014
25	0.00386445	0.00488745	733.6570000000002	915.313	6.27014
26	0.00488745	0.0061805	802.4106000000002	965.141	6.27014
27	0.0061805	0.00781485	905.5410000000002	1145.68	6.27014
28	0.00781485	0.00988062	905.5410000000002	1145.68	6.27014
29	0.00988062	0.0124917	905.5410000000002	121170.0	6.27014
30	0.0124917	0.015792	905.5410000000002	121170.0	6.27014
31	0.015792	inf	905.541	121170.0	6.27014
