time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.11497e-06	2609.4599999999996	0.767652	1.8784099999999995
1	1.11497e-06	2.57347e-06	2609.4599999999996	0.767652	4130.362728
2	2.57347e-06	4.48132e-06	7265.904	0.767579	16517.47
3	4.48132e-06	6.97697e-06	6332.4699999999975	0.767616	5997.672
4	6.97697e-06	1.02415e-05	3294.445	0.767624	4328.410000000001
5	1.02415e-05	1.45119e-05	2746.2149999999997	0.767588	3596.204
6	1.45119e-05	2.00979e-05	2276.83	86.9955	2848.6470000000004
7	2.00979e-05	2.7405e-05	1811.3339999999998	107.144	2256.0460000000003
8	2.7405e-05	3.69633e-05	1388.417	54.3195	2052.482
9	3.69633e-05	4.94666e-05	1140.28	80.0167	2334.422
10	4.94666e-05	6.5822e-05	999.4640000000002	176.254	2815.675
11	6.5822e-05	8.72166e-05	985.6137000000001	340.582	3322.132
12	8.72166e-05	0.000115203	1071.1253000000002	348.027	3656.1400000000003
13	0.000115203	0.000151811	1259.886	210.627	3676.9360000000006
14	0.000151811	0.000199699	1463.9479999999999	117.011	3377.911999999999
15	0.000199699	0.00026234	1623.3099999999997	108.937	2876.5840000000007
16	0.00026234	0.000344281	1675.54	159.894	2314.6710000000003
17	0.000344281	0.000451468	1599.1200000000001	275.172	1739.5879999999997
18	0.000451468	0.000591679	1420.5199999999998	456.902	1284.9866
19	0.000591679	0.000775088	1192.978	682.45	916.5364999999998
20	0.000775088	0.001015	969.2783999999997	914.071	651.0716
21	0.001015	0.00132884	786.1348999999999	1111.46	489.95400000000006
22	0.00132884	0.00173937	655.8147999999999	1242.98	418.01740000000007
23	0.00173937	0.00227637	602.3556	1305.32	418.74659999999994
24	0.00227637	0.00297883	603.9164000000001	1314.5	521.9154
25	0.00297883	0.00389771	669.2224000000001	1285.04	546.126
26	0.00389771	0.0050997	733.6570000000002	1233.8	754.973
27	0.0050997	0.00667202	836.7874000000002	1141.46	754.973
28	0.00667202	0.00872876	905.5410000000002	1141.46	754.973
29	0.00872876	0.0114192	905.5410000000002	806.49	754.973
30	0.0114192	0.0149385	905.5410000000002	806.49	754.973
31	0.0149385	inf	905.541	806.49	754.973
