time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.95972e-07	5.071269999999999	3.69097	1137.99
1	5.95972e-07	1.34926e-06	5.071269999999999	3.69097	1137.99
2	1.34926e-06	2.30139e-06	5.071269999999999	3.691	4271.733
3	2.30139e-06	3.50484e-06	5.071269999999999	8617.66	11583.799999999997
4	3.50484e-06	5.02597e-06	5.071269999999999	15099.6	5887.039999999998
5	5.02597e-06	6.94862e-06	5.071269999999999	20726.4	4986.527
6	6.94862e-06	9.37878e-06	5.071269999999999	15329.2	4396.099
7	9.37878e-06	1.24504e-05	5.071269999999999	7022.23	3830.158
8	1.24504e-05	1.63328e-05	3.156943000000001	3112.83	3217.2600000000007
9	1.63328e-05	2.12401e-05	362.79281599999996	1821.59	2622.886
10	2.12401e-05	2.74427e-05	3601.43	1577.55	2208.2219999999998
11	2.74427e-05	3.52826e-05	4756.129	1870.97	2097.9599999999996
12	3.52826e-05	4.51919e-05	5399.539999999999	2594.83	2203.044
13	4.51919e-05	5.77169e-05	5531.432000000001	3675.55	2531.684
14	5.77169e-05	7.35481e-05	5191.229	4898.44	2954.169000000001
15	7.35481e-05	9.35581e-05	4750.956000000001	5915.39	3465.5319999999992
16	9.35581e-05	0.00011885	4399.1900000000005	6391.35	3842.11
17	0.00011885	0.000150818	4103.709999999999	6193.45	3944.1699999999996
18	0.000150818	0.000191225	3772.6659999999997	5472.97	3706.7999999999993
19	0.000191225	0.000242297	3297.42	4521.49	3216.9300000000003
20	0.000242297	0.000306851	2886.3200000000006	3578.58	2699.52
21	0.000306851	0.000388445	2433.848	2774.77	2155.3639999999996
22	0.000388445	0.000491576	1937.6890000000003	2158.54	1682.6189999999995
23	0.000491576	0.000621931	1566.7419999999997	1731.16	1286.1889999999999
24	0.000621931	0.000786695	1237.5929999999998	1474.08	996.4716000000002
25	0.000786695	0.00099495	1024.8189999999997	1370.48	747.5020000000001
26	0.00099495	0.00125818	895.3343	1422.05	579.5218
27	0.00125818	0.00159089	826.285	2692.05	492.6689000000001
28	0.00159089	0.00201142	810.0695999999998	2692.05	452.7974
29	0.00201142	0.00254296	818.3951999999998	166.998	487.14830000000006
30	0.00254296	0.00321481	821.7809999999998	166.998	504.74600000000004
31	0.00321481	inf	60.739	166.998	519.394
