time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	8.40138e-06	5.071269999999999	0.658691	10113.99
1	8.40138e-06	1.86624e-05	4.007755000000001	0.658691	15107.020000000002
2	1.86624e-05	3.11947e-05	3046.689848	0.658669	9784.73
3	3.11947e-05	4.6501e-05	5362.404999999999	0.714949	8120.515
4	4.6501e-05	6.51953e-05	5440.514	1.70519	7654.888000000001
5	6.51953e-05	8.80276e-05	4942.428000000001	34.5653	7655.155999999998
6	8.80276e-05	0.000115914	4455.018	187.558	7761.121
7	0.000115914	0.000149973	4103.709999999999	147.058	7620.229999999999
8	0.000149973	0.00019157	3772.6659999999997	78.8475	6901.804
9	0.00019157	0.000242376	3297.42	63.699	5676.695000000001
10	0.000242376	0.000304427	2886.3200000000006	77.5468	4000.6339999999996
11	0.000304427	0.000380213	2468.647	119.15	2259.0869999999995
12	0.000380213	0.000472774	2001.7210000000005	197.34	1096.986
13	0.000472774	0.000585823	1619.1379999999997	317.182	508.3424999999999
14	0.000585823	0.000723896	1334.3	471.321	258.5127
15	0.000723896	0.000892531	1117.6720000000003	641.748	209.12600000000003
16	0.000892531	0.00109849	940.5971999999999	808.08	274.51
17	0.00109849	0.00135005	859.7874999999998	952.448	8121.059999999999
18	0.00135005	0.00165728	819.3265	1059.82	4063.6650700000005
19	0.00165728	0.00203252	809.1777999999998	1118.37	6.27014
20	0.00203252	0.00249081	817.8308999999998	1122.49	6.27014
21	0.00249081	0.00305056	821.7809999999998	1077.58	6.27014
22	0.00305056	0.00373419	212.94740000000007	1001.87	6.27014
23	0.00373419	0.00456916	60.73900000000001	920.664	6.27014
24	0.00456916	0.00558894	60.73900000000001	857.211	6.27014
25	0.00558894	0.00683444	60.73900000000001	828.12	6.27014
26	0.00683444	0.00835564	60.73900000000001	833.581	6.27014
27	0.00835564	0.0102136	60.73900000000001	862.407	6.27014
28	0.0102136	0.0124827	60.73900000000001	862.407	6.27014
29	0.0124827	0.0152542	60.73900000000001	984.947	6.27014
30	0.0152542	0.0186391	60.73900000000001	984.947	6.27014
31	0.0186391	inf	60.739	984.947	6.27014
