time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.89007e-07	5.071269999999999	3.73461	1.8784099999999995
1	5.89007e-07	1.33349e-06	5.071269999999999	3.73461	1.8784099999999995
2	1.33349e-06	2.27449e-06	5.071269999999999	3.73461	1.8784099999999995
3	2.27449e-06	3.46389e-06	5.071269999999999	9026.37	20644.3
4	3.46389e-06	4.96723e-06	5.071269999999999	23281.4	11015.029999999997
5	4.96723e-06	6.86742e-06	5.071269999999999	24602.3	5775.04
6	6.86742e-06	9.26917e-06	5.071269999999999	11661.6	4461.798000000001
7	9.26917e-06	1.23049e-05	5.071269999999999	4777.76	3862.0280000000007
8	1.23049e-05	1.6142e-05	3.156943000000001	2460.4	3261.561
9	1.6142e-05	2.09919e-05	362.79281599999996	1731.46	2642.19
10	2.09919e-05	2.7122e-05	3601.43	1681.06	2159.51
11	2.7122e-05	3.48703e-05	4591.172	2103.56	2052.482
12	3.48703e-05	4.46638e-05	5399.539999999999	2973.11	2208.862
13	4.46638e-05	5.70424e-05	5531.432000000001	4193.03	2584.8979999999997
14	5.70424e-05	7.26886e-05	5191.229	5474.43	3012.0550000000007
15	7.26886e-05	9.24648e-05	4786.322000000001	6410.01	3444.2260000000006
16	9.24648e-05	0.000117461	4427.104	6689.09	3674.1040000000003
17	0.000117461	0.000149056	4103.709999999999	6284.37	3676.9360000000006
18	0.000149056	0.00018899	3772.6659999999997	5428.09	3414.055999999999
19	0.00018899	0.000239466	3331.28	4411.96	3023.92
20	0.000239466	0.000303265	2886.3200000000006	3438.24	2520.755
21	0.000303265	0.000383905	2468.647	2609.44	2070.75
22	0.000383905	0.000485832	1937.6890000000003	1967.98	1611.902
23	0.000485832	0.000614663	1566.7419999999997	1520.84	1213.4432
24	0.000614663	0.000777501	1275.309	1254.82	916.5364999999998
25	0.000777501	0.000983323	1024.8189999999997	1157.31	669.4432
26	0.000983323	0.00124347	895.3343	1241.45	510.30920000000003
27	0.00124347	0.0015723	826.285	3867.78	428.5417
28	0.0015723	0.00198791	809.2466999999998	3867.78	408.2026
29	0.00198791	0.00251324	817.8308999999998	87.6341	449.2835999999999
30	0.00251324	0.00317724	821.7809999999998	87.6341	546.126
31	0.00317724	inf	60.739	87.6341	754.973
