time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.32195e-06	5316.314	0.662374	4848.6
1	3.32195e-06	7.52079e-06	5956.430999999999	0.662374	10113.99
2	7.52079e-06	1.2828e-05	3948.752	0.662278	17723.86
3	1.2828e-05	1.9536e-05	2937.1680000000006	0.662191	12490.180000000004
4	1.9536e-05	2.80148e-05	2229.8889999999997	0.662178	9865.411999999998
5	2.80148e-05	3.87317e-05	2111.12	0.662172	8517.130000000001
6	3.87317e-05	5.22774e-05	2350.6039999999994	0.662172	7803.084000000001
7	5.22774e-05	6.93987e-05	2809.3160000000007	5.69104	7615.764999999999
8	6.93987e-05	9.10395e-05	3372.6409999999996	47.2555	7679.500999999998
9	9.10395e-05	0.000118393	3830.7700000000004	176.564	7768.5019999999995
10	0.000118393	0.000152966	3920.4329999999995	181.119	7596.919999999998
11	0.000152966	0.000196665	3657.812999999999	101.004	6769.9929999999995
12	0.000196665	0.0002519	3159.44	71.5059	5570.258
13	0.0002519	0.000321715	2587.956	84.0368	3614.3719999999994
14	0.000321715	0.000409958	2054.7709999999997	136.772	1938.8039999999996
15	0.000409958	0.000521494	1597.2209999999998	239.701	779.0322000000002
16	0.000521494	0.000662472	1215.9551999999999	393.578	348.21780000000007
17	0.000662472	0.000840663	910.4795000000001	580.546	216.90410000000003
18	0.000840663	0.00106589	700.937	772.877	257.93399999999997
19	0.00106589	0.00135057	549.1680000000001	943.902	7338.062599999998
20	0.00135057	0.00171039	468.4550000000001	1070.74	3252.186084000001
21	0.00171039	0.0021652	446.087	1135.13	6.27014
22	0.0021652	0.00274005	504.74600000000004	1127.89	6.27014
23	0.00274005	0.00346665	504.74600000000004	1059.39	6.27014
24	0.00346665	0.00438504	517.9291999999999	965.642	6.27014
25	0.00438504	0.00554586	519.3939999999999	892.865	6.27014
26	0.00554586	0.00701309	519.3939999999999	875.247	6.27014
27	0.00701309	0.00886762	519.3939999999999	917.027	6.27014
28	0.00886762	0.0112117	519.3939999999999	917.027	6.27014
29	0.0112117	0.0141745	519.3939999999999	1086.22	6.27014
30	0.0141745	0.0179194	519.3939999999999	1086.22	6.27014
31	0.0179194	inf	519.394	1086.22	6.27014
