time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.0292e-07	1137.99	3415.95	1.8784099999999995
1	2.0292e-07	4.68358e-07	1137.99	3415.95	1.8784099999999995
2	4.68358e-07	8.15577e-07	1137.99	22837.4	1.8784099999999995
3	8.15577e-07	1.26977e-06	1137.99	30999.6	1.8784099999999995
4	1.26977e-06	1.86391e-06	1137.99	28596.8	1.8784099999999995
5	1.86391e-06	2.64109e-06	9494.637999999999	23920.0	10323.089205
6	2.64109e-06	3.65772e-06	10444.447999999999	21856.6	20644.3
7	3.65772e-06	4.98757e-06	5887.039999999998	20803.5	8263.809999999998
8	4.98757e-06	6.72714e-06	5086.584	16707.1	5775.04
9	6.72714e-06	9.00267e-06	4466.152	10381.9	4461.798000000001
10	9.00267e-06	1.19793e-05	3889.455	5728.93	3928.484000000001
11	1.19793e-05	1.5873e-05	3292.4020000000005	3470.55	3330.38
12	1.5873e-05	2.09663e-05	2622.886	2723.67	2642.19
13	2.09663e-05	2.76289e-05	2208.2219999999998	2863.95	2159.51
14	2.76289e-05	3.63442e-05	2104.54	3659.7	2040.59
15	3.63442e-05	4.77446e-05	2262.068	4972.82	2250.9300000000003
16	4.77446e-05	6.26575e-05	2670.5000000000005	6505.55	2717.485
17	6.26575e-05	8.21649e-05	3163.4049999999997	7714.85	3240.7360000000003
18	8.21649e-05	0.000107683	3668.442000000001	8007.52	3602.248
19	0.000107683	0.000141062	3910.1499999999996	7202.59	3711.4480000000003
20	0.000141062	0.000184726	3754.2739999999994	5735.26	3486.3439999999996
21	0.000184726	0.000241842	3265.9170000000004	4205.02	3023.92
22	0.000241842	0.000316556	2699.52	2964.43	2469.2340000000004
23	0.000316556	0.000414288	2054.7709999999997	2109.33	1926.4499999999996
24	0.000414288	0.000542132	1558.3419999999999	1599.05	1441.654
25	0.000542132	0.000709364	1153.2456	1358.2	1070.3564
26	0.000709364	0.00092812	840.6320000000001	1340.95	751.9834999999998
27	0.00092812	0.00121427	625.0525	2968.3	520.4868
28	0.00121427	0.00158859	500.7402000000001	2968.3	428.5417
29	0.00158859	0.00207823	452.7974	190.456	412.42019999999997
30	0.00207823	0.00271873	493.0142000000001	190.456	485.5994999999999
31	0.00271873	inf	519.394	190.456	754.973
