time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.30795e-06	4848.6	0.665009	6194.6048869999995
1	3.30795e-06	7.48908e-06	10113.99	0.665009	8748.891999999998
2	7.48908e-06	1.27739e-05	17723.86	0.66504	3995.4160000000006
3	1.27739e-05	1.94537e-05	12490.180000000004	0.664983	2986.2850000000003
4	1.94537e-05	2.78967e-05	9865.411999999998	0.664978	2256.0460000000003
5	2.78967e-05	3.85684e-05	8517.130000000001	0.664975	2082.658
6	3.85684e-05	5.2057e-05	7861.497000000001	0.66498	2376.168
7	5.2057e-05	6.91061e-05	7615.764999999999	2.67814	2864.7700000000004
8	6.91061e-05	9.06556e-05	7662.936999999998	40.4375	3362.8300000000004
9	9.06556e-05	0.000117893	7768.5019999999995	188.977	3674.1040000000003
10	0.000117893	0.000152321	7596.919999999998	190.564	3676.9360000000006
11	0.000152321	0.000195836	6769.9929999999995	100.334	3377.911999999999
12	0.000195836	0.000250838	5570.258	68.7446	2925.696000000001
13	0.000250838	0.000320358	3614.3719999999994	80.6717	2417.713
14	0.000320358	0.000408229	1938.8039999999996	133.575	1926.4499999999996
15	0.000408229	0.000519295	815.8878000000002	238.349	1484.2160000000001
16	0.000519295	0.000659679	348.21780000000007	396.126	1106.1281
17	0.000659679	0.000837118	216.90410000000003	587.303	806.8344999999998
18	0.000837118	0.0010614	257.93399999999997	781.317	614.3284
19	0.0010614	0.00134487	7338.062599999998	949.597	479.7764000000001
20	0.00134487	0.00170318	4063.6650700000005	1070.31	418.01740000000007
21	0.00170318	0.00215607	6.27014	1130.3	416.6377999999999
22	0.00215607	0.0027285	6.27014	1125.49	485.5994999999999
23	0.0027285	0.00345203	6.27014	1067.35	546.126
24	0.00345203	0.00436656	6.27014	990.315	650.5495
25	0.00436656	0.00552248	6.27014	939.756	754.973
26	0.00552248	0.00698352	6.27014	959.58	754.973
27	0.00698352	0.00883023	6.27014	1094.44	754.973
28	0.00883023	0.0111644	6.27014	1094.44	754.973
29	0.0111644	0.0141147	6.27014	2214.25	754.973
30	0.0141147	0.0178438	6.27014	2214.25	754.973
31	0.0178438	inf	6.27014	2214.25	754.973
