time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.03774e-06	711.5300000000001	0.824783	21.525400000000005
1	1.03774e-06	2.3952e-06	1856.187	0.824783	21.525400000000005
2	2.3952e-06	4.17089e-06	11170.131999999998	0.824711	21.525400000000005
3	4.17089e-06	6.49367e-06	7062.856999999999	0.824867	21.525400000000005
4	6.49367e-06	9.53208e-06	6959.434	0.824702	396.44703999999996
5	9.53208e-06	1.35066e-05	7914.499999999999	1.49084	394.4765
6	1.35066e-05	1.87057e-05	9003.546	115.917	362.14959999999996
7	1.87057e-05	2.55066e-05	9519.154	323.045	407.35599999999994
8	2.55066e-05	3.44029e-05	9082.145999999999	358.061	466.3580000000001
9	3.44029e-05	4.604e-05	7924.334000000002	399.536	417.3628999999999
10	4.604e-05	6.12625e-05	6365.927000000001	641.113	404.5948000000001
11	6.12625e-05	8.1175e-05	4871.143	961.483	489.5726000000001
12	8.1175e-05	0.000107222	3786.2080000000005	1170.52	588.2716
13	0.000107222	0.000141295	3063.962	1217.46	689.5551
14	0.000141295	0.000185865	2519.9500000000003	1199.29	805.4129999999999
15	0.000185865	0.000244168	2087.7960000000003	1164.25	868.974
16	0.000244168	0.000320433	1727.5140000000006	1113.04	856.9562000000002
17	0.000320433	0.000420194	1419.1680000000001	1059.49	805.0980999999999
18	0.000420194	0.000550693	1177.6059999999998	1014.7	750.6647999999999
19	0.000550693	0.000721397	932.7128000000002	963.629	703.9889999999998
20	0.000721397	0.000944695	736.4792000000001	873.095	652.5000000000001
21	0.000944695	0.00123679	604.3891	735.534	588.6256
22	0.00123679	0.00161888	513.7669999999999	593.977	505.1654
23	0.00161888	0.00211869	458.7075000000001	501.126	433.63079999999997
24	0.00211869	0.00277248	446.37160000000006	480.76	400.9258000000001
25	0.00277248	0.00362772	449.9360000000001	541.328	433.87390000000005
26	0.00362772	0.00474644	356.5727999999999	678.772	540.8934
27	0.00474644	0.00620984	333.2319999999999	829.996	694.9931000000001
28	0.00620984	0.00812411	333.2319999999999	829.996	843.2248000000001
29	0.00812411	0.0106282	333.2319999999999	855.171	919.1110000000002
30	0.0106282	0.0139037	333.2319999999999	855.171	1012.1464000000002
31	0.0139037	inf	333.232	855.171	1074.17
