time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.26798e-07	711.5300000000001	1.17753	1868.1300000000006
1	7.26798e-07	1.67752e-06	711.5300000000001	1.17753	1868.1300000000006
2	1.67752e-06	2.92115e-06	6434.814999999999	1.17753	1868.1300000000006
3	2.92115e-06	4.54795e-06	9688.18	1.17753	3645.8149999999996
4	4.54795e-06	6.67595e-06	7011.055999999999	1.17753	4972.63
5	6.67595e-06	9.45959e-06	6959.434	1.31592	3169.15
6	9.45959e-06	1.31009e-05	7801.241999999999	1161.63	2953.4289999999996
7	1.31009e-05	1.7864e-05	8916.42	1174.45	2606.9239999999995
8	1.7864e-05	2.40946e-05	9471.41	1025.3	2223.2340000000004
9	2.40946e-05	3.22449e-05	9209.302	1043.87	2014.2600000000004
10	3.22449e-05	4.29062e-05	8181.998000000002	1036.41	1923.822
11	4.29062e-05	5.68523e-05	6654.981000000002	965.32	1911.4180000000006
12	5.68523e-05	7.50951e-05	5218.4400000000005	923.649	1910.4819999999997
13	7.50951e-05	9.89584e-05	4098.687000000001	962.086	1878.5850000000003
14	9.89584e-05	0.000130174	3354.364	1064.71	1812.7099999999998
15	0.000130174	0.000171007	2693.0460000000003	1182.86	1701.3809999999999
16	0.000171007	0.00022442	2195.688	1290.17	1579.6039999999998
17	0.00022442	0.00029429	1820.2680000000005	1376.03	1453.0269999999996
18	0.00029429	0.000385687	1500.015	1429.62	1334.7379999999996
19	0.000385687	0.000505242	1224.5219999999997	1446.2	1232.0
20	0.000505242	0.000661633	1009.8242000000001	1428.3	1139.5819999999999
21	0.000661633	0.000866206	812.4975000000001	1374.26	1039.716
22	0.000866206	0.00113381	658.5308000000001	1264.93	924.7493999999999
23	0.00113381	0.00148386	548.0713	1078.05	768.5335999999999
24	0.00148386	0.00194176	472.85350000000005	845.284	602.0419
25	0.00194176	0.00254073	443.6983000000001	651.914	454.9923
26	0.00254073	0.00332425	449.9360000000001	559.369	379.50059999999996
27	0.00332425	0.00434917	391.58399999999995	635.54	396.25600000000003
28	0.00434917	0.00568986	333.2319999999999	635.54	444.0460000000001
29	0.00568986	0.00744361	333.2319999999999	775.827	588.0136
30	0.00744361	0.00973768	333.2319999999999	775.827	683.9919999999998
31	0.00973768	inf	333.232	775.827	683.992
