time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.17263e-06	21.525400000000005	0.72985	1868.1300000000006
1	1.17263e-06	2.70655e-06	21.525400000000005	0.72985	1868.1300000000006
2	2.70655e-06	4.71307e-06	21.525400000000005	0.729838	3645.8149999999996
3	4.71307e-06	7.33778e-06	104.84132000000001	0.729836	4521.76
4	7.33778e-06	1.07712e-05	438.10499999999996	0.72984	3097.243
5	1.07712e-05	1.52624e-05	368.2994	0.729841	2808.5089999999996
6	1.52624e-05	2.11373e-05	384.7527999999999	0.817469	2412.644
7	2.11373e-05	2.88222e-05	430.95680000000004	109.432	2090.38
8	2.88222e-05	3.88749e-05	444.58239999999995	54.1552	1938.114
9	3.88749e-05	5.20247e-05	409.47760000000005	159.599	1910.7100000000003
10	5.20247e-05	6.9226e-05	432.3782000000001	331.117	1911.0099999999998
11	6.9226e-05	9.1727e-05	528.8272000000001	347.377	1889.1000000000001
12	9.1727e-05	0.00012116	638.7906	345.576	1826.5699999999997
13	0.00012116	0.000159662	741.9899999999999	383.317	1731.0199999999998
14	0.000159662	0.000210026	837.36	497.273	1624.7380000000003
15	0.000210026	0.000275907	867.3090000000002	645.302	1498.2779999999996
16	0.000275907	0.000362086	838.9146000000002	782.615	1364.5969999999995
17	0.000362086	0.000474816	784.0648999999999	892.274	1257.8119999999997
18	0.000474816	0.000622277	733.0395999999997	961.602	1164.281
19	0.000622277	0.000815172	687.7985999999999	975.124	1068.4019999999998
20	0.000815172	0.0010675	624.4926	914.875	949.401
21	0.0010675	0.00139756	544.2844	779.049	798.3431999999999
22	0.00139756	0.00182932	463.6703	625.931	632.4157000000001
23	0.00182932	0.0023941	412.41980000000007	531.41	487.4998
24	0.0023941	0.00313288	411.8640000000001	527.091	393.6427
25	0.00313288	0.00409928	477.73840000000007	620.893	372.36099999999993
26	0.00409928	0.00536343	611.0519	775.943	444.0460000000001
27	0.00536343	0.00701706	764.7366000000002	882.885	516.0298
28	0.00701706	0.00918016	906.4633000000002	882.885	683.9919999999998
29	0.00918016	0.0120097	934.6169000000002	901.469	683.9919999999998
30	0.0120097	0.015711	1074.17	901.469	683.9919999999998
31	0.015711	inf	1074.17	901.469	683.992
