time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	3.07072e-06	202.783	0.485811	21306.73
1	3.07072e-06	7.78987e-06	202.783	0.485811	20681.319999999996
2	7.78987e-06	1.50424e-05	202.783	0.486091	13215.520000000002
3	1.50424e-05	2.61882e-05	202.783	0.48564	10013.385
4	2.61882e-05	4.33173e-05	570.1549999999999	0.485612	7390.498
5	4.33173e-05	6.96417e-05	538.1824999999999	0.485611	5769.740000000001
6	6.96417e-05	0.000110098	588.8659999999999	0.485611	4581.987999999999
7	0.000110098	0.000172271	693.9121999999999	13.9795	3702.4660000000003
8	0.000172271	0.000267821	773.0928	9.00676	2891.905
9	0.000267821	0.000414664	689.7391999999998	16.877	2075.318
10	0.000414664	0.000640336	448.9641	58.6571	1477.9460000000004
11	0.000640336	0.000987153	219.09060000000005	198.599	1190.292
12	0.000987153	0.00152015	84.23754	488.894	1375.5700000000002
13	0.00152015	0.00233927	34.75377000000001	915.934	707.5562000000001
14	0.00233927	0.00359811	35.687419999999996	1042.29	91.12700000000002
15	0.00359811	0.00553273	304.3181	941.729	91.12700000000002
16	0.00553273	0.0085059	1033.4148	763.053	91.12700000000002
17	0.0085059	0.0130751	72101.31	617.051	91.12700000000002
18	0.0130751	0.0200972	57098.3181	376.744	91.12700000000002
19	0.0200972	inf	38.2749	376.744	91.127
