time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.11544e-07	1.7948699999999997	1.67331	637.916
1	5.11544e-07	1.18069e-06	1.7948699999999997	1.67331	637.916
2	1.18069e-06	2.05601e-06	1.7948699999999997	1.67309	637.916
3	2.05601e-06	3.201e-06	1.7948699999999997	1.67302	870.6174000000001
4	3.201e-06	4.69876e-06	3071.992435	1.67302	2964.93
5	4.69876e-06	6.65798e-06	5526.394999999999	1.67302	1912.7249999999995
6	6.65798e-06	9.22082e-06	3930.098000000001	1.67302	1581.955
7	9.22082e-06	1.25733e-05	3247.2940000000003	591.343	1616.972
8	1.25733e-05	1.69586e-05	2828.2430000000004	370.601	1395.774
9	1.69586e-05	2.2695e-05	2716.0519999999997	427.186	1303.0159999999998
10	2.2695e-05	3.01988e-05	2844.9670000000006	489.834	1264.192
11	3.01988e-05	4.00145e-05	3145.578	435.979	1119.7192
12	4.00145e-05	5.28544e-05	3425.77	356.095	973.8908
13	5.28544e-05	6.96502e-05	3593.6070000000004	387.642	944.3431
14	6.96502e-05	9.16208e-05	3533.3439999999996	576.486	1033.6219
15	9.16208e-05	0.00012036	3273.5099999999993	937.585	1256.81
16	0.00012036	0.000157955	2922.7159999999994	1447.76	1572.4450000000002
17	0.000157955	0.000207131	2569.714	2000.93	1890.588
18	0.000207131	0.000271459	2281.508	2431.54	2095.6710000000003
19	0.000271459	0.000355607	2006.3839999999996	2610.49	2115.247
20	0.000355607	0.000465679	1765.4119999999996	2534.16	1969.1119999999996
21	0.000465679	0.000609665	1506.8969999999997	2295.52	1715.3129999999996
22	0.000609665	0.000798012	1263.1560000000002	1975.32	1398.65
23	0.000798012	0.00104439	1014.9273	1617.68	1111.5872
24	0.00104439	0.00136667	793.6337999999997	1271.15	850.4644999999999
25	0.00136667	0.00178825	624.0179999999999	996.827	640.8985999999999
26	0.00178825	0.00233972	516.8016	838.77	502.30600000000004
27	0.00233972	0.00306109	484.29250000000013	930.877	435.50519999999995
28	0.00306109	0.00400471	483.0790000000001	930.877	437.06499999999994
29	0.00400471	0.00523906	304.456	150.166	443.76399999999995
30	0.00523906	0.00685371	284.609	150.166	317.5885
31	0.00685371	inf	284.609	150.166	303.569
