time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.78939e-07	1.7948699999999997	3.06816	1.86617
1	2.78939e-07	6.43818e-07	1.7948699999999997	3.06816	1.86617
2	6.43818e-07	1.12112e-06	1.7948699999999997	3.06814	1.86617
3	1.12112e-06	1.74547e-06	1.7948699999999997	3.06816	1.86617
4	1.74547e-06	2.56218e-06	1.7948699999999997	3.06815	1924.295702
5	2.56218e-06	3.63051e-06	1.7948699999999997	4726.06	4807.94
6	3.63051e-06	5.028e-06	4300.0714609999995	2940.57	3113.3879999999995
7	5.028e-06	6.85605e-06	5321.129999999999	2411.02	2378.2599999999998
8	6.85605e-06	9.24732e-06	3930.098000000001	2532.03	2127.2259999999997
9	9.24732e-06	1.23753e-05	3292.3300000000004	2358.83	2290.6059999999998
10	1.23753e-05	1.64671e-05	2841.9700000000007	1939.34	2360.4930000000004
11	1.64671e-05	2.18194e-05	2704.6999999999994	1819.26	2172.3969999999995
12	2.18194e-05	2.88209e-05	2806.8680000000004	2133.41	2049.7479999999996
13	2.88209e-05	3.79794e-05	3058.9429999999998	2836.16	2071.346
14	3.79794e-05	4.99597e-05	3385.1299999999997	3774.66	2269.4719999999998
15	4.99597e-05	6.56311e-05	3590.0890000000004	4657.0	2574.936
16	6.56311e-05	8.61307e-05	3569.632	5194.19	2948.0079999999994
17	8.61307e-05	0.000112946	3364.091999999999	5268.45	3216.2360000000003
18	0.000112946	0.000148023	3022.6279999999992	4958.87	3282.95
19	0.000148023	0.000193908	2663.9080000000004	4440.74	3139.574
20	0.000193908	0.000253929	2336.9400000000005	3857.79	2876.33
21	0.000253929	0.000332443	2054.3779999999997	3266.29	2513.4990000000007
22	0.000332443	0.000435146	1808.2959999999996	2678.44	2128.4320000000002
23	0.000435146	0.000569493	1571.8899999999996	2128.36	1750.9789999999994
24	0.000569493	0.00074523	1331.113	1678.5	1373.9180000000003
25	0.00074523	0.000975112	1080.7811000000002	1379.97	1083.1086
26	0.000975112	0.00127582	829.2723999999997	1255.77	857.3866000000002
27	0.00127582	0.00166917	649.0979999999998	2426.09	700.3969999999999
28	0.00166917	0.00218372	531.6404	2426.09	608.702
29	0.00218372	0.0028568	485.1015000000001	104.611	600.7322
30	0.0028568	0.00373724	483.0790000000001	104.611	613.791
31	0.00373724	inf	284.609	104.611	106.092
