time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.48671e-07	1.7948699999999997	1.55985	436.3799999999999
1	5.48671e-07	1.26638e-06	1.7948699999999997	1.55985	436.3799999999999
2	1.26638e-06	2.20522e-06	1.7948699999999997	1.55983	436.3799999999999
3	2.20522e-06	3.43332e-06	1.7948699999999997	1.55986	436.3799999999999
4	3.43332e-06	5.03978e-06	3686.031948	1.55982	6631.38
5	5.03978e-06	7.14119e-06	5115.865	1.55981	5233.446000000001
6	7.14119e-06	9.89004e-06	3770.656000000001	1.55982	3972.5460000000003
7	9.89004e-06	1.34858e-05	3157.222	283.026	3142.8440000000005
8	1.34858e-05	1.81894e-05	2800.7889999999998	169.894	2583.35
9	1.81894e-05	2.43422e-05	2750.108	309.472	2216.8699999999994
10	2.43422e-05	3.23906e-05	2925.208	421.292	1925.4600000000003
11	3.23906e-05	4.29187e-05	3205.466	379.273	1753.434
12	4.29187e-05	5.66904e-05	3486.7300000000005	250.655	1635.3999999999999
13	5.66904e-05	7.47052e-05	3598.8840000000005	206.107	1585.0410000000002
14	7.47052e-05	9.82703e-05	3478.911999999999	287.72	1546.567
15	9.82703e-05	0.000129096	3213.1219999999994	513.799	1486.6160000000002
16	0.000129096	0.000169418	2856.1079999999997	912.031	1420.851
17	0.000169418	0.000222164	2506.9179999999997	1439.47	1371.6660000000004
18	0.000222164	0.000291161	2174.3630000000003	1957.21	1347.1350000000002
19	0.000291161	0.000381415	1915.5059999999996	2304.54	1337.0850000000003
20	0.000381415	0.000499477	1679.4399999999996	2399.92	1318.986
21	0.000499477	0.000653912	1440.9779999999998	2284.8	1270.7249999999997
22	0.000653912	0.000855929	1194.18	2046.03	1176.0759999999998
23	0.000855929	0.00112019	950.6345999999998	1736.59	1031.912
24	0.00112019	0.00146586	740.1758999999997	1396.86	839.1279000000001
25	0.00146586	0.00191804	586.398	1096.97	669.7077999999998
26	0.00191804	0.00250953	494.5434	898.432	540.3896000000001
27	0.00250953	0.00328325	483.0790000000001	845.05	467.5138000000001
28	0.00328325	0.00429536	443.38500000000005	845.05	466.8175000000001
29	0.00429536	0.00561929	284.609	222.496	486.3760000000001
30	0.00561929	0.00735113	284.609	222.496	432.8288
31	0.00735113	inf	284.609	222.496	409.88
