time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	4.84362e-07	637.916	1.76709	1.86617
1	4.84362e-07	1.11795e-06	637.916	1.76709	1.86617
2	1.11795e-06	1.94675e-06	637.916	1.76739	1.86617
3	1.94675e-06	3.0309e-06	637.916	1.76708	3366.1178509999995
4	3.0309e-06	4.44908e-06	2964.93	1.76708	3960.6639999999993
5	4.44908e-06	6.30418e-06	2063.0399999999995	1.77381	2565.154
6	6.30418e-06	8.73084e-06	1533.885	647.404	2086.9219999999996
7	8.73084e-06	1.19051e-05	1673.744	294.224	2268.29
8	1.19051e-05	1.60574e-05	1418.27	529.065	2379.8700000000003
9	1.60574e-05	2.14891e-05	1305.7899999999997	1060.87	2186.0999999999995
10	2.14891e-05	2.85941e-05	1291.92	976.708	2049.7479999999996
11	2.85941e-05	3.78882e-05	1167.144	553.747	2071.346
12	3.78882e-05	5.00458e-05	985.476	410.076	2269.4719999999998
13	5.00458e-05	6.59491e-05	933.1477	470.193	2610.344
14	6.59491e-05	8.67522e-05	1000.2253000000002	726.067	2948.0079999999994
15	8.67522e-05	0.000113965	1203.66	1187.1	3216.2360000000003
16	0.000113965	0.000149561	1509.971	1782.6	3282.95
17	0.000149561	0.000196125	1836.602	2345.34	3139.574
18	0.000196125	0.000257034	2067.925	2693.48	2846.0200000000004
19	0.000257034	0.00033671	2118.3959999999997	2748.48	2478.9860000000003
20	0.00033671	0.000440934	2003.2839999999997	2578.84	2093.2410000000004
21	0.000440934	0.000577269	1764.1189999999997	2304.35	1719.4249999999995
22	0.000577269	0.000755607	1478.2220000000002	1988.46	1346.5160000000003
23	0.000755607	0.000988892	1187.45	1643.99	1061.0129
24	0.000988892	0.00129405	892.6455	1293.45	841.0678000000001
25	0.00129405	0.00169323	671.8648	991.999	689.7074999999999
26	0.00169323	0.00221539	520.5836	789.481	603.1904000000001
27	0.00221539	0.00289843	442.54079999999993	708.352	603.9969
28	0.00289843	0.00379191	432.59899999999993	708.352	613.791
29	0.00379191	0.00496067	443.76399999999995	345.365	156.8619
30	0.00496067	0.00648951	345.6275	345.365	106.092
31	0.00648951	inf	303.569	345.365	106.092
