time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	4.5767e-07	637.916	17.5184	436.3799999999999
1	4.5767e-07	1.05635e-06	637.916	17.5184	436.3799999999999
2	1.05635e-06	1.83947e-06	637.916	284.41	436.3799999999999
3	1.83947e-06	2.86388e-06	637.916	974.71	436.3799999999999
4	2.86388e-06	4.2039e-06	2499.5271999999995	2806.86	3533.8799999999997
5	4.2039e-06	5.95678e-06	2363.6699999999996	3248.97	6631.38
6	5.95678e-06	8.24971e-06	1485.8149999999998	2282.73	4301.49
7	8.24971e-06	1.12491e-05	1702.1299999999999	1770.01	3533.954000000001
8	1.12491e-05	1.51726e-05	1446.656	1812.59	2894.1800000000003
9	1.51726e-05	2.03049e-05	1328.2859999999998	1958.71	2436.758
10	2.03049e-05	2.70184e-05	1294.694	1610.88	2100.306
11	2.70184e-05	3.58003e-05	1181.0079999999998	1098.87	1868.1180000000002
12	3.58003e-05	4.72879e-05	1019.0368	857.757	1704.6439999999998
13	4.72879e-05	6.23149e-05	939.1351999999999	894.667	1616.7320000000002
14	6.23149e-05	8.19715e-05	977.9293000000001	1124.22	1573.974
15	8.19715e-05	0.000107684	1133.8117000000002	1473.03	1525.4750000000001
16	0.000107684	0.000141319	1447.497	1867.4	1467.875
17	0.000141319	0.000185317	1782.6160000000002	2228.92	1405.0620000000004
18	0.000185317	0.00024287	2026.306	2479.2	1362.4080000000004
19	0.00024287	0.000318155	2127.843	2568.47	1343.526
20	0.000318155	0.000416635	2037.4559999999997	2503.15	1333.8570000000004
21	0.000416635	0.000545457	1812.9249999999997	2328.02	1311.954
22	0.000545457	0.000713968	1531.3940000000002	2075.4	1244.3119999999997
23	0.000713968	0.000934397	1240.25	1755.3	1128.876
24	0.000934397	0.00122274	963.1988	1394.47	952.8628000000001
25	0.00122274	0.00159992	723.9214999999999	1055.46	775.3714999999999
26	0.00159992	0.00209331	538.8612	800.994	617.7714
27	0.00209331	0.0027387	449.5764	633.053	514.9442
28	0.0027387	0.00358295	428.1329999999999	633.053	457.3864000000001
29	0.00358295	0.0046873	443.76399999999995	574.911	478.5526000000001
30	0.0046873	0.0061319	373.6665	574.911	486.3760000000001
31	0.0061319	inf	303.569	574.911	409.88
