time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.23575e-07	1.86617	1.63465	436.3799999999999
1	5.23575e-07	1.20846e-06	1.86617	1.63465	436.3799999999999
2	1.20846e-06	2.10436e-06	1.86617	1.63459	436.3799999999999
3	2.10436e-06	3.27628e-06	4327.332616999999	1.63458	436.3799999999999
4	3.27628e-06	4.80927e-06	3537.0259999999994	1.63458	6011.88
5	4.80927e-06	6.81456e-06	2378.2599999999998	1.63458	5699.424000000001
6	6.81456e-06	9.43768e-06	2147.3779999999997	263.333	4191.842
7	9.43768e-06	1.2869e-05	2301.764	304.865	3205.0100000000007
8	1.2869e-05	1.73574e-05	2321.739	318.917	2645.516
9	1.73574e-05	2.32288e-05	2144.9909999999995	624.12	2253.5179999999996
10	2.32288e-05	3.09091e-05	2051.782	675.953	1983.7420000000002
11	3.09091e-05	4.09556e-05	2117.834	450.114	1772.548
12	4.09556e-05	5.40975e-05	2357.4649999999997	281.509	1655.1839999999997
13	5.40975e-05	7.12883e-05	2681.1600000000003	259.33	1598.0640000000003
14	7.12883e-05	9.37756e-05	3037.8159999999993	374.756	1555.5289999999998
15	9.37756e-05	0.000123191	3260.2430000000004	653.4	1504.3830000000003
16	0.000123191	0.000161669	3270.17	1111.66	1431.3770000000002
17	0.000161669	0.000212003	3078.536	1672.96	1377.8380000000004
18	0.000212003	0.000277844	2750.887	2168.54	1349.5410000000004
19	0.000277844	0.00036397	2339.578	2437.36	1337.892
20	0.00036397	0.000476631	1955.693	2443.8	1321.3300000000002
21	0.000476631	0.000624004	1590.644	2280.55	1276.2799999999997
22	0.000624004	0.00081678	1264.3100000000002	2038.4	1185.8239999999998
23	0.00081678	0.00106895	994.7257999999997	1746.54	1059.616
24	0.00106895	0.00139882	792.1114000000001	1419.89	887.6656000000002
25	0.00139882	0.00183031	657.6389999999999	1114.17	711.6150999999999
26	0.00183031	0.00239474	592.1672	895.703	557.3532000000001
27	0.00239474	0.00313308	610.5263	782.49	474.26540000000006
28	0.00313308	0.0040989	512.2512	782.49	462.9058000000001
29	0.0040989	0.00536228	106.092	274.222	486.3760000000001
30	0.00536228	0.0070149	106.092	274.222	440.47839999999997
31	0.0070149	inf	106.092	274.222	409.88
