time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.63288e-07	3.8977599999999994	3.25062	1604.52
1	2.63288e-07	6.07693e-07	3.8977599999999994	3.25062	1604.52
2	6.07693e-07	1.05821e-06	3.8977599999999994	740.156	1604.52
3	1.05821e-06	1.64753e-06	3.8977599999999994	2117.39	1604.52
4	1.64753e-06	2.41841e-06	3.8977599999999994	2606.49	1444.249288
5	2.41841e-06	3.4268e-06	3719.6991040000003	4118.58	1.8128799999999998
6	3.4268e-06	4.74588e-06	10806.649999999998	7474.67	4318.049152
7	4.74588e-06	6.47136e-06	16111.349999999995	9538.84	6805.063999999999
8	6.47136e-06	8.72845e-06	15054.45	7425.18	5243.159999999999
9	8.72845e-06	1.16809e-05	11796.65	4674.02	4469.98
10	1.16809e-05	1.55431e-05	9583.365000000002	3320.16	4125.091
11	1.55431e-05	2.05951e-05	8612.114000000001	2992.56	4103.114
12	2.05951e-05	2.72037e-05	8321.636	3199.03	4122.392000000001
13	2.72037e-05	3.58484e-05	7945.288000000002	3647.25	4014.31
14	3.58484e-05	4.71564e-05	7221.208000000001	4161.59	3829.612000000001
15	4.71564e-05	6.19485e-05	6337.839999999998	4624.92	3645.9529999999995
16	6.19485e-05	8.12979e-05	5649.422999999999	4937.27	3539.6120000000005
17	8.12979e-05	0.000106609	5043.3060000000005	5027.53	3436.292999999999
18	0.000106609	0.000139718	4524.164999999999	4882.9	3312.919
19	0.000139718	0.000183028	3949.8900000000003	4536.52	3092.4120000000003
20	0.000183028	0.000239681	3246.604999999999	4031.37	2775.2509999999997
21	0.000239681	0.000313789	2573.830000000001	3414.75	2376.806
22	0.000313789	0.00041073	1909.6960000000008	2756.87	1933.0600000000004
23	0.00041073	0.000537538	1402.761	2151.47	1491.3300000000004
24	0.000537538	0.000703415	1074.9340000000002	1677.62	1100.0943
25	0.000703415	0.000920398	913.7747000000002	1362.38	798.0326
26	0.000920398	0.00120423	1050.8152999999998	1189.42	600.4000000000001
27	0.00120423	0.00157552	2286.5900000000006	1200.93	497.714
28	0.00157552	0.00206119	1393.8255599999998	1200.93	493.01939999999996
29	0.00206119	0.0026965	54.678899999999985	360.866	683.0485
30	0.0026965	0.00352755	54.678899999999985	360.866	1031.3300000000002
31	0.00352755	inf	54.6789	360.866	50.5612
