time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.48112e-07	3.8977599999999994	1.5614	7.514140000000001
1	5.48112e-07	1.2651e-06	3.8977599999999994	1.5614	7.514140000000001
2	1.2651e-06	2.20298e-06	3.8977599999999994	1.56146	29466.252827999997
3	2.20298e-06	3.42982e-06	3100.39888	1.56149	62704.299999999996
4	3.42982e-06	5.03465e-06	11728.599999999997	1.56143	60294.76000000001
5	5.03465e-06	7.13392e-06	16389.329999999998	1.56142	43697.48
6	7.13392e-06	9.87997e-06	14003.34	1.56142	31280.82
7	9.87997e-06	1.34721e-05	10591.89	1.5614	25409.76
8	1.34721e-05	1.81709e-05	8832.044	2.34937	21687.12
9	1.81709e-05	2.43174e-05	8397.992	269.071	19337.82
10	2.43174e-05	3.23576e-05	8116.712000000001	697.046	17255.280000000002
11	3.23576e-05	4.28749e-05	7518.964000000001	826.277	15327.579999999996
12	4.28749e-05	5.66327e-05	6664.279999999998	890.778	13508.339999999998
13	5.66327e-05	7.46291e-05	5851.691999999999	821.736	11396.339999999998
14	7.46291e-05	9.81702e-05	5234.184	780.057	9337.399999999998
15	9.81702e-05	0.000128964	4750.608	855.901	7242.358000000001
16	0.000128964	0.000169246	4238.535	1052.09	5314.812
17	0.000169246	0.000221938	3451.64	1345.11	3754.67
18	0.000221938	0.000290864	2706.250000000001	1696.26	2602.9419999999996
19	0.000290864	0.000381027	2020.7240000000006	2040.65	1697.173
20	0.000381027	0.000498968	1484.1550000000002	2268.7	1076.8398000000002
21	0.000498968	0.000653247	1126.368	2245.33	602.2651999999999
22	0.000653247	0.000855058	938.1581000000001	1942.45	330.63300000000004
23	0.000855058	0.00111905	911.1221999999997	1509.89	305.843
24	0.00111905	0.00146437	2149.2817000000005	1127.51	281.053
25	0.00146437	0.00191608	2063.3988900000004	886.703	281.053
26	0.00191608	0.00250697	54.678899999999985	795.526	281.053
27	0.00250697	0.00327991	54.678899999999985	952.436	281.053
28	0.00327991	0.00429098	54.678899999999985	952.436	281.053
29	0.00429098	0.00561357	54.678899999999985	141.389	281.053
30	0.00561357	0.00734364	54.678899999999985	141.389	281.053
31	0.00734364	inf	54.6789	141.389	281.053
