time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.4636e-07	3.8977599999999994	1.56672	6.00688
1	5.4636e-07	1.26105e-06	3.8977599999999994	1.56672	6.040391999999999
2	1.26105e-06	2.19594e-06	3.8977599999999994	1.56657	12466.765242
3	2.19594e-06	3.41886e-06	3100.39888	1.56643	31002.719999999998
4	3.41886e-06	5.01856e-06	11728.599999999997	1.56651	25861.599999999995
5	5.01856e-06	7.11112e-06	16389.329999999998	1.56652	21147.96
6	7.11112e-06	9.84839e-06	14003.34	1.56641	21529.239999999998
7	9.84839e-06	1.3429e-05	10591.89	1.56641	22562.980000000003
8	1.3429e-05	1.81128e-05	8832.044	3.43821	22310.130000000005
9	1.81128e-05	2.42396e-05	8397.992	138.995	20696.64
10	2.42396e-05	3.22542e-05	8116.712000000001	852.477	18222.480000000003
11	3.22542e-05	4.27379e-05	7518.964000000001	1269.49	15776.679999999998
12	4.27379e-05	5.64517e-05	6664.279999999998	1033.88	13700.42
13	5.64517e-05	7.43906e-05	5851.691999999999	810.665	11598.480000000001
14	7.43906e-05	9.78565e-05	5234.184	754.011	9353.240000000002
15	9.78565e-05	0.000128552	4750.608	843.33	7105.827999999999
16	0.000128552	0.000168705	4238.535	1050.92	5139.493000000001
17	0.000168705	0.000221229	3519.985	1350.49	3624.274000000001
18	0.000221229	0.000289935	2772.46	1700.89	2536.0510000000004
19	0.000289935	0.000379809	2020.7240000000006	2032.71	1663.4660000000003
20	0.000379809	0.000497373	1484.1550000000002	2238.53	1163.6595
21	0.000497373	0.000651159	1126.368	2198.28	840.1713999999998
22	0.000651159	0.000852325	938.1581000000001	1896.93	695.5924999999997
23	0.000852325	0.00111547	911.1221999999997	1480.2	676.8989999999998
24	0.00111547	0.00145969	2011.9734000000005	1117.97	349.21150000000006
25	0.00145969	0.00190996	2286.5900000000006	895.628	208.77399999999997
26	0.00190996	0.00249896	54.678899999999985	825.09	208.77399999999997
27	0.00249896	0.00326943	54.678899999999985	1069.35	208.77399999999997
28	0.00326943	0.00427727	54.678899999999985	1069.35	208.77399999999997
29	0.00427727	0.00559563	54.678899999999985	115.034	208.77399999999997
30	0.00559563	0.00732017	54.678899999999985	115.034	208.77399999999997
31	0.00732017	inf	54.6789	115.034	208.774
