time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.705e-07	1604.52	1.50016	7.514140000000001
1	5.705e-07	1.31677e-06	1604.52	1.50016	7.514140000000001
2	1.31677e-06	2.29296e-06	1604.52	1.50019	32191.482828
3	2.29296e-06	3.56992e-06	1.8128799999999998	1.50016	63211.2
4	3.56992e-06	5.2403e-06	5037.421864	1.50021	59386.27000000001
5	5.2403e-06	7.42531e-06	6024.111999999999	1.50015	41347.36
6	7.42531e-06	1.02835e-05	4856.57	1.50013	30654.56
7	1.02835e-05	1.40223e-05	4278.375	1.50014	24666.139999999996
8	1.40223e-05	1.89131e-05	4096.985	200.099	21438.489999999998
9	1.89131e-05	2.53106e-05	4116.695000000001	444.975	18950.739999999998
10	2.53106e-05	3.36793e-05	4042.2799999999997	366.501	16928.7
11	3.36793e-05	4.46262e-05	3868.794000000001	435.643	14999.939999999997
12	4.46262e-05	5.89459e-05	3678.0589999999993	510.709	13163.479999999998
13	5.89459e-05	7.76775e-05	3559.6760000000004	516.841	11213.199999999999
14	7.76775e-05	0.00010218	3464.267999999999	559.926	9145.379999999997
15	0.00010218	0.000134232	3343.1169999999997	718.235	7053.201000000001
16	0.000134232	0.000176159	3119.186	1016.59	5147.538
17	0.000176159	0.000231003	2809.574	1428.46	3622.38
18	0.000231003	0.000302745	2416.352	1871.28	2429.548
19	0.000302745	0.00039659	1974.3540000000003	2214.86	1579.2189999999998
20	0.00039659	0.000519349	1530.5400000000002	2319.93	987.2995999999999
21	0.000519349	0.000679929	1133.5793999999999	2137.19	524.6560000000001
22	0.000679929	0.000889984	823.2334000000001	1756.19	330.63300000000004
23	0.000889984	0.00116476	616.7590000000001	1325.46	295.92699999999996
24	0.00116476	0.00152418	507.8353	971.684	281.053
25	0.00152418	0.00199435	489.5777	751.397	281.053
26	0.00199435	0.00260937	633.294	656.086	281.053
27	0.00260937	0.00341388	1031.3300000000002	679.442	281.053
28	0.00341388	0.00446626	639.0224799999999	679.442	281.053
29	0.00446626	0.00584286	50.5612	580.874	281.053
30	0.00584286	0.0076436	50.5612	580.874	281.053
31	0.0076436	inf	50.5612	580.874	281.053
